code,name,price_idx,chg_pct,mcap
BK0448,通信设备,2554384,-5.00,5557905408000.0
BK1215,通信,810009,-4.62,8420296704000.0
BK1038,光学光电子,245955,0.35,2025711184000.0
BK0459,元件,7188962,-2.64,4024199904000.0
BK0736,通信服务,106694,-3.77,2862391296000.0
