date,open,high,low,close,atr,atr_pct,buy_price_target,sell_price_target,trend,t_shares,t_buy_shares,t_sell_shares,day_pnl,gross_pnl,do_long,do_short
2024-08-02,22.908,23.098,22.368,22.448,0.5192857142857142,0.023132827614295894,22.700285714285716,23.21957142857143,sideways,16600,16600,16600,4281.137683310604,4281.137683310604,True,True
2024-08-05,22.238,22.518,21.688,21.748,0.5464285714285716,0.02512546309677081,22.01942857142857,22.565857142857144,sideways,16600,16600,16600,4589.197288982396,4589.197288982396,True,True
2024-08-06,21.978,22.148,21.518,21.848,0.5607142857142858,0.025664330177329085,21.753714285714288,22.31442857142857,sideways,16600,16600,16600,4650.426878576691,4650.426878576691,True,True
2024-08-09,23.238,25.178,22.768,24.218,0.970714285714286,0.04008234725056924,22.849714285714285,23.82042857142857,bull,33200,33200,33200,23005.60930772533,23005.60930772533,True,False
2024-08-13,23.458,23.738,22.938,23.178,1.0385714285714287,0.04480850067181934,23.042571428571428,24.081142857142854,bull,16600,16600,16600,9314.121346584114,9314.121346584114,True,False
2024-08-16,23.192,23.452,22.702,22.732,1.085714285714286,0.04776149418063902,22.757714285714286,23.84342857142857,sideways,16600,16600,16600,9867.4865477024,9867.4865477024,True,True
2024-08-30,22.392,23.032,22.292,22.732,0.6642857142857148,0.029222493149996254,22.126285714285714,22.79057142857143,sideways,16600,16600,16600,3490.5321635998553,3490.5321635998553,True,True
2024-09-19,22.082,22.502,21.852,22.292,0.5564285714285708,0.0249609084617159,21.859428571428573,22.415857142857142,sideways,33200,33200,33200,7315.087909590802,7315.087909590802,True,True
2024-09-24,22.362,22.832,22.162,22.832,0.502142857142857,0.0219929422364601,22.161142857142856,22.663285714285713,sideways,16600,16600,16600,2377.038303082576,2377.038303082576,True,True
2024-09-30,25.692,26.902,25.162,26.732,0.6992857142857145,0.02615912443085869,25.412285714285716,26.11157142857143,bull,16600,16600,16600,16411.22745600005,16411.22745600005,False,False
2024-10-15,25.992,26.412,25.422,25.432,1.2221428571428576,0.04805531838403813,25.50314285714286,26.725285714285715,bull,16600,16600,16600,11132.414508473128,11132.414508473128,True,False
2024-10-21,26.652,26.962,25.932,26.262,1.370714285714286,0.05219382703961183,26.103714285714286,27.47442857142857,bull,16600,16600,16600,12469.20803219697,12469.20803219697,True,False
2024-11-04,27.192,27.682,26.652,27.642,0.9471428571428573,0.03426462836056932,26.813142857142857,27.760285714285715,bull,16600,16600,16600,8025.92533006164,8025.92533006164,True,False
2024-11-12,29.942,30.242,29.002,29.312,1.0657142857142858,0.03635761072988147,29.515714285714285,30.58142857142857,bull,16600,16600,16600,9449.398659138824,9449.398659138824,True,False
2024-11-15,28.882,29.152,28.162,28.182,1.113571428571429,0.03951356995853485,28.43657142857143,29.55014285714286,bull,16600,16600,16600,9996.6517674434,9996.6517674434,True,False
2024-11-18,28.362,28.702,27.892,28.092,1.1271428571428577,0.040123268444498705,27.911142857142856,29.038285714285713,bull,16600,16600,16600,9981.22259349242,9981.22259349242,True,False
2024-11-21,28.552,28.922,27.992,28.252,1.0571428571428572,0.03741833700774661,28.129142857142856,29.186285714285713,bull,16600,16600,16600,9302.298452379764,9302.298452379764,True,False
2024-11-25,27.742,29.642,27.482,28.432,1.1585714285714288,0.04074885440951846,27.27857142857143,28.43714285714286,sideways,16600,16600,16600,6549.004665411077,6549.004665411077,True,True
2024-11-27,27.582,28.522,27.262,28.522,1.2335714285714288,0.04324982219239285,27.08857142857143,28.322142857142858,sideways,16600,16600,16600,6997.617412011081,6997.617412011081,True,True
2024-12-18,27.582,28.262,27.452,27.962,0.6321428571428575,0.0226072118282976,27.32914285714286,27.961285714285715,bear,16600,16600,16600,3047.262249883963,3047.262249883963,False,True
2024-12-20,30.332,30.722,29.532,29.802,0.8250000000000003,0.027682705858667212,30.002,30.827,bull,16600,16600,16600,7016.0905893705785,7016.0905893705785,True,False
2024-12-23,29.802,30.422,29.282,29.442,0.8735714285714289,0.029670926858617924,29.452571428571428,30.326142857142855,bull,16600,16600,16600,7470.114716426178,7470.114716426178,True,False
2024-12-25,30.042,30.822,29.512,30.522,1.020714285714286,0.03344192011382891,29.633714285714287,30.654428571428575,bull,16600,16600,16600,8627.681386915036,8627.681386915036,True,False
2024-12-30,31.662,32.052,31.012,31.512,1.2092857142857145,0.03837540347441338,31.178285714285714,32.38757142857143,bull,16600,16600,16600,10607.480538636388,10607.480538636388,True,False
2025-01-06,27.682,28.332,27.042,27.382,1.5207142857142855,0.05553700554065756,27.073714285714285,28.59442857142857,bear,16600,16600,16600,17682.37577600003,17682.37577600003,False,False
2025-01-07,27.282,28.982,27.202,28.522,1.5949999999999995,0.05592174461818945,26.644,28.239,bear,16600,16600,16600,9380.616083564411,9380.616083564411,False,True
2025-01-15,27.932,30.542,27.862,29.492,1.5735714285714286,0.05335587374784445,27.302571428571426,28.876142857142856,sideways,16600,16600,16600,9094.678711170622,9094.678711170622,True,True
2025-02-06,34.732,39.872,33.592,39.132,2.3414285714285716,0.05983411457192507,33.79542857142857,36.136857142857146,bull,33200,33200,33200,40897.59450262133,40897.59450262133,True,False
2025-03-04,34.982,37.732,34.862,36.632,2.415714285714286,0.0659454653230587,34.01571428571428,36.43142857142857,bear,16600,16600,16600,14560.892538151122,14560.892538151122,False,True
2025-03-14,36.152,38.432,36.012,37.122,2.402142857142858,0.0647094137477199,35.19114285714286,37.59328571428571,bear,16600,16600,16600,14709.965605207602,14709.965605207602,False,True
2025-03-17,37.282,39.202,37.282,37.882,2.0800000000000005,0.05490734385724092,36.449999999999996,38.529999999999994,sideways,16600,16600,16600,12534.06693328952,12534.06693328952,True,True
2025-03-31,33.542,34.662,33.272,33.582,1.287857142857144,0.03834962607519338,33.026857142857146,34.31471428571429,bear,16600,16600,16600,7350.302878379589,7350.302878379589,False,True
2025-04-02,33.792,34.832,33.642,34.092,1.2107142857142859,0.03551314929350833,33.30771428571429,34.51842857142857,bear,16600,16600,16600,6738.743269735482,6738.743269735482,False,True
2025-04-07,31.732,32.622,30.332,30.332,1.1935714285714287,0.03935023831502798,31.254571428571428,32.448142857142855,bear,16600,16600,16600,20269.38617599994,20269.38617599994,False,False
2025-04-09,29.222,30.382,27.802,30.022,1.337142857142857,0.04453876680910189,28.68714285714286,30.024285714285714,bear,16600,16600,16600,18666.07849600003,18666.07849600003,False,False
2025-04-11,30.732,31.772,30.612,31.262,1.4385714285714284,0.04601661533399745,30.15657142857143,31.595142857142857,bear,16600,16600,16600,8391.89400846517,8391.89400846517,False,True
2025-04-25,31.472,32.932,31.452,31.482,1.2007142857142858,0.03813970795102871,30.991714285714288,32.19242857142857,sideways,16600,16600,16600,6850.428256720188,6850.428256720188,True,True
2025-04-28,31.282,32.332,31.142,31.892,1.1414285714285717,0.03579043557721597,30.82542857142857,31.966857142857144,sideways,16600,16600,16600,6300.216505691293,6300.216505691293,True,True
2025-04-29,33.282,33.612,32.012,33.132,1.0800000000000003,0.032596885186526633,32.849999999999994,33.93,bull,16600,16600,16600,9287.94631326769,9287.94631326769,True,False
2025-05-29,32.242,33.002,32.182,32.802,0.8664285714285721,0.026413894623150178,31.895428571428567,32.76185714285714,bear,16600,16600,16600,4403.011590164504,4403.011590164504,False,True
2025-06-03,31.672,33.822,31.432,33.012,0.9442857142857152,0.02860431704488414,31.294285714285714,32.23857142857143,bear,16600,16600,16600,4804.815121051506,4804.815121051506,False,True
2025-06-04,33.032,34.132,32.992,33.902,0.9350000000000007,0.027579493835171987,32.657999999999994,33.592999999999996,sideways,16600,16600,16600,4776.390586575493,4776.390586575493,True,True
2025-06-05,33.912,34.712,33.342,34.572,0.9335714285714296,0.027003685889489457,33.53857142857143,34.472142857142856,sideways,33200,33200,33200,12385.282892637653,12385.282892637653,True,True
2025-06-09,34.752,35.032,34.172,34.372,0.9578571428571436,0.02786736712606609,34.368857142857145,35.32671428571429,bull,16600,16600,16600,8100.431044105673,8100.431044105673,True,False
2025-06-13,33.432,33.872,32.972,33.252,0.9721428571428571,0.029235620628619542,33.04314285714286,34.01528571428572,sideways,16600,16600,16600,8237.714262066991,8237.714262066991,True,True
2025-06-20,36.882,39.232,36.072,38.312,1.4264285714285716,0.03723190048623334,36.31142857142857,37.73785714285714,bull,16600,16600,16600,23559.04137599992,23559.04137599992,False,False
2025-06-24,38.262,39.182,37.612,38.012,1.3971428571428568,0.03675531035312156,37.70314285714286,39.10028571428572,bull,16600,16600,16600,12219.746675248956,12219.746675248956,True,False
2025-06-27,38.632,40.212,37.602,39.512,1.5307142857142857,0.03874049113470049,38.01971428571429,39.55042857142857,bull,33200,33200,33200,37750.03477240377,37750.03477240377,True,False
