date,open,high,low,close,preclose,volume,amount
2020-01-02,88.91,89.26,87.36,88.8,89.7,6486496,573076890.0
2020-01-03,88.0,88.08,86.92,87.64,88.8,4830537,422062671.0
2020-01-06,87.83,87.83,86.0,86.5,87.64,6546171,566564531.0
2020-01-07,86.59,87.65,86.25,86.92,86.5,3673820,319750974.0
2020-01-08,86.5,88.05,86.06,87.7,86.92,5348572,467912702.0
2020-01-09,87.7,92.59,87.41,91.48,87.7,11267058,1017899845.0
2020-01-10,91.47,96.6,91.41,94.2,91.48,8993631,846873027.0
2020-01-13,94.18,97.58,94.18,95.2,94.2,7628732,731453165.0
2020-01-14,95.2,95.89,94.0,94.46,95.2,4095917,387546263.0
2020-01-15,94.81,97.02,94.51,96.15,94.46,5393044,516448737.0
2020-01-16,96.55,97.89,95.1,97.49,96.15,5004646,486142995.0
2020-01-17,97.76,98.33,96.05,96.69,97.49,2893890,280739507.0
2020-01-20,96.71,97.35,95.26,95.9,96.69,4211510,404134542.0
2020-01-21,94.88,95.83,93.2,94.5,95.9,4031684,381596227.0
2020-01-22,94.49,96.7,92.96,95.48,94.5,4516973,429540640.0
2020-01-23,95.69,96.5,90.77,91.68,95.48,4928013,456301531.0
2020-02-03,82.51,82.51,82.51,82.51,91.68,1159600,95678596.0
2020-02-04,75.5,81.87,75.5,79.75,82.51,17017980,1326564922.0
2020-02-05,80.0,82.5,77.6,81.28,79.75,9952368,796536202.0
2020-02-06,80.29,82.5,80.02,82.41,81.28,5783171,471024362.0
2020-02-07,83.44,85.87,82.16,85.21,82.41,6049487,509066079.0
2020-02-10,84.9,87.15,82.8,85.8,85.21,6371100,542309910.0
2020-02-11,85.13,88.85,85.13,87.4,85.8,5095165,445078599.0
2020-02-12,87.4,88.44,86.32,87.59,87.4,4818016,421384266.0
2020-02-13,88.2,88.56,87.25,87.85,87.59,2801770,246434852.0
2020-02-14,88.07,88.3,86.99,87.35,87.85,3170393,278201752.0
2020-02-17,87.98,88.16,86.7,87.4,87.35,4207105,367434095.0
2020-02-18,87.5,87.87,85.76,86.66,87.4,4287657,370973452.0
2020-02-19,86.67,88.3,85.55,87.85,86.66,6593262,576065067.0
2020-02-20,87.63,91.65,87.32,91.23,87.85,7555714,681576130.0
2020-02-21,90.0,91.0,89.57,90.26,91.23,3726487,335840856.0
2020-02-24,89.01,89.9,87.0,88.63,90.26,4753698,419112223.0
2020-02-25,86.97,88.15,86.12,87.08,88.63,3369223,293632090.0
2020-02-26,86.13,88.4,86.13,87.15,87.08,4215000,367864598.0
2020-02-27,86.81,91.3,86.81,89.94,87.15,7713658,697061258.0
2020-02-28,86.02,89.3,85.71,86.25,89.94,4853564,422679886.0
2020-03-02,86.6,90.43,85.78,89.4,86.25,6568091,581312329.0
2020-03-03,89.5,92.2,89.5,91.5,89.4,5303276,483172579.0
2020-03-04,90.79,91.89,89.0,91.06,91.5,4492605,406259862.0
