date,open,high,low,close,preclose,volume,amount
2020-01-02,56.5,57.6,55.69,55.89,56.17,21337965,1203715724.0
2020-01-03,55.9,57.76,55.9,56.94,55.89,17784857,1015667484.0
2020-01-06,56.7,57.35,53.65,55.2,56.94,27494534,1527480168.0
2020-01-07,55.2,55.99,54.59,54.78,55.2,20063006,1105506853.0
2020-01-08,54.82,54.99,53.8,54.25,54.78,16752874,910461285.0
2020-01-09,54.67,55.56,54.0,55.36,54.25,12766954,702827111.0
2020-01-10,55.36,55.47,53.53,54.36,55.36,18782492,1016849753.0
2020-01-13,54.49,54.6,53.35,54.4,54.36,14425518,778521014.0
2020-01-14,54.55,55.86,54.55,55.07,54.4,18304321,1013027630.0
2020-01-15,55.0,55.03,53.57,53.96,55.07,12622778,682182534.0
2020-01-16,54.34,55.13,53.9,54.11,53.96,9710876,528028022.0
2020-01-17,54.26,54.4,53.66,53.92,54.11,7658252,412892084.0
2020-01-20,54.11,54.9,53.88,54.53,53.92,11263316,613371706.0
2020-01-21,54.71,54.78,52.89,53.78,54.53,15582329,834594605.0
2020-01-22,53.4,54.17,53.02,53.92,53.78,11202786,602444077.0
2020-01-23,53.8,53.8,50.92,51.91,53.92,24097403,1251921557.0
2020-02-03,46.72,48.8,46.72,48.49,51.91,33451373,1602993991.0
2020-02-04,48.8,50.3,48.75,49.47,48.49,30937981,1526612544.0
2020-02-05,49.3,50.5,48.94,49.51,49.47,30460908,1513464165.0
2020-02-06,49.53,49.97,49.0,49.73,49.51,22417811,1108531267.0
2020-02-07,49.48,49.48,48.28,48.85,49.73,22110648,1078758848.0
2020-02-10,48.81,50.32,48.18,50.3,48.85,28483129,1402658671.0
2020-02-11,50.4,50.85,49.7,50.0,50.3,17544737,880127742.0
2020-02-12,50.02,51.43,49.8,50.44,50.0,21629859,1096924043.0
2020-02-13,50.69,51.35,50.15,50.22,50.44,15858471,804326129.0
2020-02-14,49.97,50.58,49.54,49.96,50.22,12121483,604508358.0
2020-02-17,49.81,51.5,49.75,51.49,49.96,17441253,889158300.0
2020-02-18,51.6,51.67,50.4,50.78,51.49,14892892,756828817.0
2020-02-19,50.7,51.95,50.16,51.2,50.78,19458630,997606624.0
2020-02-20,51.02,51.79,50.95,51.62,51.2,18739001,961239872.0
2020-02-21,51.6,52.48,51.2,51.41,51.62,21312034,1102241218.0
2020-02-24,51.0,51.03,49.78,49.99,51.41,27079535,1356815397.0
2020-02-25,49.0,49.39,48.0,48.77,49.99,28189659,1371344187.0
2020-02-26,47.86,48.9,47.56,48.46,48.77,20795659,1003870502.0
2020-02-27,48.63,50.14,48.5,49.86,48.46,22560738,1117951862.0
2020-02-28,49.04,49.04,47.0,47.04,49.86,26527468,1270387987.0
2020-03-02,47.08,50.65,47.08,50.16,47.04,29235655,1452574626.0
2020-03-03,50.91,51.2,49.05,49.32,50.16,24127514,1203537098.0
2020-03-04,49.55,50.49,49.32,49.9,49.32,14987455,747308935.0
