code,date,direction,shares,price,commission,stamp_tax,pnl
601633.SH,2020-07-20,buy,181900,11.001,500.27,0.0,0.0
600323.SH,2020-07-20,buy,76100,26.306,500.48,0.0,0.0
000423.SZ,2020-07-20,buy,55000,36.336,499.62,0.0,0.0
600233.SH,2020-07-20,buy,123700,16.176,500.25,0.0,0.0
000301.SZ,2020-07-21,buy,323200,6.056,489.33,0.0,0.0
601633.SH,2020-08-17,sell,181900,14.685,667.81,2671.26,666836.92
600323.SH,2020-08-17,sell,76100,28.631,544.71,2178.84,174213.51
000423.SZ,2020-08-17,sell,55000,39.75,546.57,2186.26,185032.22
600233.SH,2020-08-17,sell,123700,14.945,462.18,1848.7,-154600.42
000883.SZ,2020-08-17,buy,9500,3.874,9.2,0.0,0.0
600011.SH,2020-08-17,buy,7300,5.015,9.15,0.0,0.0
002317.SZ,2020-08-17,buy,2400,15.375,9.23,0.0,0.0
300624.SZ,2020-08-17,buy,500,65.696,8.21,0.0,0.0
000301.SZ,2020-08-18,sell,323200,5.764,465.75,1863.0,-96644.97
600733.SH,2020-08-18,buy,295700,7.297,539.45,0.0,0.0
000883.SZ,2020-09-09,sell,9500,3.886,9.23,36.92,70.13
600011.SH,2020-09-09,sell,7300,5.684,10.37,41.5,4834.02
002317.SZ,2020-09-09,sell,2400,14.905,8.94,35.77,-1173.39
300624.SZ,2020-09-09,sell,500,64.635,8.08,32.32,-570.56
600733.SH,2020-09-09,sell,295700,6.693,494.8,1979.21,-181073.85
002648.SZ,2020-09-15,buy,112400,18.859,529.93,0.0,0.0
300751.SZ,2020-09-15,buy,5900,358.018,528.08,0.0,0.0
600754.SH,2020-09-15,buy,51700,41.021,530.2,0.0,0.0
000883.SZ,2020-09-16,buy,548300,3.904,535.13,0.0,0.0
300763.SZ,2020-09-16,buy,18500,111.942,517.73,0.0,0.0
002648.SZ,2020-09-24,sell,112400,20.13,565.65,2262.6,140033.28
300751.SZ,2020-09-24,sell,5900,342.987,505.91,2023.62,-91212.37
600754.SH,2020-09-24,sell,51700,39.47,510.16,2040.62,-82711.11
000883.SZ,2020-09-24,sell,548300,3.696,506.67,2026.68,-116360.43
300763.SZ,2020-09-24,sell,18500,110.399,510.6,2042.39,-31086.28
002690.SZ,2020-09-29,buy,43300,48.058,520.23,0.0,0.0
000883.SZ,2020-10-09,buy,554300,3.774,522.95,0.0,0.0
600733.SH,2020-10-09,buy,341400,6.126,522.86,0.0,0.0
300363.SZ,2020-10-09,buy,61700,33.904,522.97,0.0,0.0
000301.SZ,2020-10-09,buy,317900,6.386,507.56,0.0,0.0
002690.SZ,2020-10-30,sell,43300,42.218,457.01,1828.03,-255168.73
000883.SZ,2020-10-30,sell,554300,3.956,548.21,2192.83,98291.22
600733.SH,2020-10-30,sell,341400,6.633,566.16,2264.63,170340.95
300363.SZ,2020-10-30,sell,61700,38.052,586.95,2347.8,252999.31
000301.SZ,2020-10-30,sell,317900,6.134,487.49,1949.95,-82713.55
000301.SZ,2020-11-02,buy,325800,6.506,529.95,0.0,0.0
600733.SH,2020-11-02,buy,306000,6.927,529.91,0.0,0.0
300763.SZ,2020-11-02,buy,16500,128.188,528.78,0.0,0.0
300751.SZ,2020-11-02,buy,4900,427.737,523.98,0.0,0.0
300454.SZ,2020-11-02,buy,10700,197.197,527.5,0.0,0.0
300763.SZ,2020-11-17,sell,16500,104.246,430.01,1720.05,-397199.83
000883.SZ,2020-11-17,buy,6700,4.064,6.81,0.0,0.0
000301.SZ,2020-11-30,sell,325800,10.02,816.13,3264.51,1140607.89
600733.SH,2020-11-30,sell,306000,8.601,658.01,2632.03,509097.79
300751.SZ,2020-11-30,sell,4900,496.763,608.53,2434.14,335181.94
300454.SZ,2020-11-30,sell,10700,201.478,538.95,2155.82,43115.35
688180.SH,2020-11-30,buy,23600,71.271,420.5,0.0,0.0
300363.SZ,2020-12-01,buy,74600,32.783,611.4,0.0,0.0
002690.SZ,2020-12-01,buy,51700,47.277,611.06,0.0,0.0
600323.SH,2020-12-01,buy,99200,24.635,610.94,0.0,0.0
000883.SZ,2020-12-15,sell,6700,3.736,6.26,25.03,-2227.55
002294.SZ,2020-12-15,buy,84700,29.229,618.93,0.0,0.0
688180.SH,2020-12-28,sell,23600,72.158,425.73,1702.92,18794.4
000883.SZ,2020-12-28,buy,174800,4.054,177.16,0.0,0.0
300363.SZ,2020-12-29,sell,74600,34.495,643.34,2573.36,124552.21
002690.SZ,2020-12-29,sell,51700,42.957,555.22,2220.88,-226131.99
600323.SH,2020-12-29,sell,99200,24.086,597.33,2389.32,-57419.67
600323.SH,2020-12-29,buy,69700,24.134,420.54,0.0,0.0
300624.SZ,2020-12-29,buy,32000,52.412,419.3,0.0,0.0
300251.SZ,2020-12-30,buy,200800,11.962,600.49,0.0,0.0
002294.SZ,2021-01-13,sell,84700,29.53,625.31,2501.23,22388.49
300133.SZ,2021-01-13,buy,398500,6.196,617.3,0.0,0.0
000883.SZ,2021-01-26,sell,174800,3.576,156.29,625.16,-84271.17
002567.SZ,2021-01-26,buy,288400,8.398,605.52,0.0,0.0
600323.SH,2021-01-27,sell,69700,22.168,386.27,1545.1,-138982.48
300624.SZ,2021-01-27,sell,32000,55.295,442.36,1769.43,90021.49
002690.SZ,2021-01-27,buy,28400,46.787,332.19,0.0,0.0
600025.SH,2021-01-27,buy,300700,4.424,332.61,0.0,0.0
300251.SZ,2021-01-28,sell,200800,12.458,625.37,2501.47,96385.62
002399.SZ,2021-01-28,buy,109300,18.008,492.07,0.0,0.0
300133.SZ,2021-02-05,sell,398500,6.314,629.0,2516.0,43674.76
002567.SZ,2021-02-05,sell,288400,7.702,555.34,2221.34,-203531.92
