code,sector,screen_date,entry_price,final_price,forward_return,annual_return,max_dd_fwd,days_held,score,pct_ma60,pct_ma20,vol_ratio,chg_20d,reasons
600519,,2025-08-25,1429.63,1168.63,-18.3,-22.4,-23.5,200,65,4.3,4.0,1.2,3.7,多头排列|均线发散|极早期(4%)
002129,光伏设备,2025-08-25,8.49,11.19,31.8,41.6,-30.5,200,65,6.7,3.2,1.1,-0.4,多头排列|均线发散|极早期(7%)
600152,电力设备,2025-08-25,6.81,10.63,56.1,75.3,-34.2,200,65,1.3,0.8,1.2,-0.3,多头排列|均线发散|极早期(1%)
600237,元件,2025-08-25,7.93,13.21,66.6,90.2,-27.6,200,65,8.0,3.1,1.1,3.1,多头排列|均线发散|极早期(8%)
600487,通信设备,2025-08-25,19.36,110.81,472.4,800.9,-21.3,200,64,26.7,16.5,1.1,27.2,多头排列|均线发散
002529,专用设备,2025-08-22,6.52,7.17,10.0,12.7,-19.3,200,64,0.9,3.0,1.4,3.8,均线发散|极早期(1%)|温和放量(1.4x)
600183,元件,2025-08-25,47.21,178.50,278.1,434.3,-31.0,200,62,42.9,17.4,1.0,21.4,多头排列|均线发散
000001,,2025-08-25,11.76,10.23,-13.0,-16.1,-14.2,200,60,2.1,1.5,1.3,-0.1,多头排列|极早期(2%)|温和放量(1.3x)
002414,国防军工,2025-08-25,12.76,13.17,3.2,4.1,-36.0,200,60,22.2,4.0,0.8,15.2,多头排列
600775,通信设备,2025-08-25,12.57,9.35,-25.6,-31.1,-52.1,200,60,16.9,5.8,0.8,20.6,多头排列
600761,工程机械,2025-08-25,19.27,16.34,-15.2,-18.8,-30.6,200,59,4.4,2.2,1.0,0.3,多头排列|极早期(4%)
600406,电力设备,2025-08-25,22.20,22.74,2.4,3.1,-28.0,200,58,1.1,1.6,1.5,0.6,极早期(1%)|温和放量(1.5x)
601636,玻璃玻纤,2025-08-25,6.27,8.93,42.4,56.1,-26.1,200,57,11.5,2.6,0.8,-2.5,多头排列|均线发散|极早期(12%)
002592,汽车,2025-08-25,7.20,6.08,-15.6,-19.2,-45.7,200,57,11.1,1.3,0.7,3.2,多头排列|均线发散|极早期(11%)
002484,元件,2025-08-25,27.13,109.00,301.7,476.7,-29.5,200,56,25.6,5.4,0.9,28.9,多头排列|均线发散
002080,玻璃玻纤,2025-08-25,36.54,97.67,167.3,245.2,-26.4,200,52,59.5,28.4,1.1,28.8,多头排列|均线发散
000528,工程机械,2025-08-25,10.99,7.57,-31.1,-37.5,-39.6,200,51,9.7,1.3,0.9,1.8,多头排列|极早期(10%)
000070,通信设备,2025-08-25,11.56,22.29,92.8,128.7,-30.8,200,50,31.9,16.7,0.9,39.0,多头排列
002017,通信设备,2025-08-25,31.82,14.70,-53.8,-62.2,-53.9,200,49,62.3,13.9,0.8,24.9,多头排列|均线发散
002536,汽车零部件,2025-08-25,27.58,48.12,74.5,101.6,-33.1,200,49,59.8,19.9,1.3,71.2,多头排列|均线发散|温和放量(1.3x)
000738,国防军工,2025-08-25,20.99,17.62,-16.1,-19.8,-40.0,200,45,4.9,0.7,1.0,-1.3,多头排列|极早期(5%)
002189,国防军工,2025-08-25,27.13,21.03,-22.5,-27.5,-32.7,200,45,8.2,0.2,0.7,3.0,多头排列|极早期(8%)
002487,风电设备,2025-08-25,33.80,55.55,64.4,87.0,-38.0,200,45,4.1,1.9,0.9,2.4,多头排列|极早期(4%)
000680,工程机械,2025-08-25,9.80,9.76,-0.4,-0.5,-28.1,200,45,5.3,0.1,0.8,-9.5,多头排列|极早期(5%)
601869,,2025-08-25,71.07,543.00,664.0,1196.4,-39.6,200,39,49.0,18.4,0.9,61.0,多头排列|均线发散
002488,汽车零部件,2025-08-25,13.46,8.85,-34.2,-41.0,-42.3,200,39,-2.4,0.7,1.3,-1.6,均线发散|温和放量(1.3x)
603256,玻璃玻纤,2025-08-25,39.58,297.00,650.3,1167.1,-37.3,200,37,99.6,41.6,1.1,78.9,多头排列|均线发散
603800,专用设备,2025-08-25,47.80,88.46,85.1,117.2,-42.4,200,36,54.1,10.9,1.1,63.2,多头排列
002438,通用设备,2025-08-25,13.53,14.17,4.7,6.0,-26.5,200,33,5.8,-2.8,1.1,-2.6,极早期(6%)
002584,电子化学品,2025-08-25,9.16,9.62,5.0,6.4,-29.1,200,26,-3.1,0.2,1.1,0.3,
600815,工程机械,2025-08-25,2.86,2.57,-10.1,-12.6,-47.9,200,25,1.0,-0.3,0.9,-3.7,极早期(1%)
002097,工程机械,2025-08-25,16.22,7.30,-55.0,-63.4,-56.1,200,23,48.8,-0.9,0.6,37.6,
603516,计算机设备,2025-08-25,105.05,122.83,16.9,21.8,-57.7,200,21,108.4,27.2,0.9,132.0,多头排列|均线发散
600036,,2025-08-25,42.51,36.00,-15.3,-18.9,-15.3,200,8,-0.9,-0.5,1.0,-1.3,
