date,open,close,high,low,change_pct,turnover_pct,amplitude_pct,ratio,vol_shou,amount_yuan,direction,price_position
2025-09-16,88.0,95.65,95.65,85.85,10.01,4.92,11.27,0.4915084915084915,200047.0,1832388481.0,上涨,4.497594447511634
2025-09-16,88.0,95.65,95.65,85.85,10.01,4.92,11.27,0.4915084915084915,200047.0,1832388481.0,上涨,4.497594447511634
2025-09-17,96.98,99.68,104.74,93.4,4.21,7.41,11.86,1.7600950118764846,301236.0,2965063493.0,上涨,5.2922154744064995
2025-09-17,96.98,99.68,104.74,93.4,4.21,7.41,11.86,1.7600950118764846,301236.0,2965063493.0,上涨,5.2922154744064995
2025-09-18,99.68,109.65,109.65,96.0,10.0,6.46,13.69,0.646,262450.0,2703307580.0,上涨,7.258064516129033
2025-09-18,99.68,109.65,109.65,96.0,10.0,6.46,13.69,0.646,262450.0,2703307580.0,上涨,7.258064516129033
2025-09-19,115.1,120.62,120.62,111.91,10.0,6.09,7.94,0.609,247472.0,2931302737.0,上涨,9.421089991324237
2025-09-19,115.1,120.62,120.62,111.91,10.0,6.09,7.94,0.609,247472.0,2931302737.0,上涨,9.421089991324237
2025-09-22,120.54,115.28,120.54,108.56,-4.43,7.85,9.93,1.7720090293453725,319021.0,3588212980.0,下跌,8.368167836580172
2025-09-22,120.54,115.28,120.54,108.56,-4.43,7.85,9.93,1.7720090293453725,319021.0,3588212980.0,下跌,8.368167836580172
2025-09-23,115.3,117.27,120.0,110.01,1.73,5.87,8.67,3.393063583815029,238428.0,2753957717.0,上涨,8.760548939190787
2025-09-23,115.3,117.27,120.0,110.01,1.73,5.87,8.67,3.393063583815029,238428.0,2753957717.0,上涨,8.760548939190787
2025-09-24,112.3,110.3,113.59,105.6,-5.94,4.6,6.81,0.7744107744107743,186724.0,2052214311.0,下跌,7.386229197886268
2025-09-24,112.3,110.3,113.59,105.6,-5.94,4.6,6.81,0.7744107744107743,186724.0,2052214311.0,下跌,7.386229197886268
2025-09-25,107.35,108.08,112.95,105.04,-2.01,3.7,7.17,1.8407960199004978,150416.0,1636417382.0,下跌,6.948497515576937
2025-09-25,107.35,108.08,112.95,105.04,-2.01,3.7,7.17,1.8407960199004978,150416.0,1636417382.0,下跌,6.948497515576937
2025-09-26,106.45,103.0,110.8,103.0,-4.7,3.3,7.22,0.702127659574468,134059.0,1425609453.0,下跌,5.946841233535768
2025-09-26,106.45,103.0,110.8,103.0,-4.7,3.3,7.22,0.702127659574468,134059.0,1425609453.0,下跌,5.946841233535768
2025-09-29,102.65,105.55,108.0,102.0,2.48,2.78,5.83,1.1209677419354838,112898.0,1185497404.0,上涨,6.44964113889108
2025-09-29,102.65,105.55,108.0,102.0,2.48,2.78,5.83,1.1209677419354838,112898.0,1185497404.0,上涨,6.44964113889108
2025-09-30,105.54,100.84,106.2,99.72,-4.46,3.42,6.14,0.7668161434977578,139121.0,1417285919.0,下跌,5.520940137234797
2025-09-30,105.54,100.84,106.2,99.72,-4.46,3.42,6.14,0.7668161434977578,139121.0,1417285919.0,下跌,5.520940137234797
2025-10-09,100.92,97.98,102.65,97.7,-2.84,2.92,4.91,1.028169014084507,118690.0,1178782829.0,下跌,4.957015537502958
2025-10-09,100.92,97.98,102.65,97.7,-2.84,2.92,4.91,1.028169014084507,118690.0,1178782829.0,下跌,4.957015537502958
2025-10-10,98.24,91.23,98.55,90.64,-6.89,3.84,8.07,0.5573294629898403,156012.0,1463550493.0,下跌,3.6260746115624265
2025-10-10,98.24,91.23,98.55,90.64,-6.89,3.84,8.07,0.5573294629898403,156012.0,1463550493.0,下跌,3.6260746115624265
2025-10-13,86.15,88.6,89.87,86.15,-2.88,2.37,4.08,0.8229166666666667,96392.0,849604939.0,下跌,3.107500591529299
2025-10-13,86.15,88.6,89.87,86.15,-2.88,2.37,4.08,0.8229166666666667,96392.0,849604939.0,下跌,3.107500591529299
2025-10-14,89.51,85.18,91.99,84.95,-3.86,2.74,7.95,0.7098445595854923,111263.0,985274216.0,下跌,2.433157189052765
2025-10-14,89.51,85.18,91.99,84.95,-3.86,2.74,7.95,0.7098445595854923,111263.0,985274216.0,下跌,2.433157189052765
2025-10-15,86.06,86.01,86.68,83.0,0.97,2.65,4.32,2.731958762886598,107646.0,913274707.0,上涨,2.5968136288350823
2025-10-15,86.06,86.01,86.68,83.0,0.97,2.65,4.32,2.731958762886598,107646.0,913274707.0,上涨,2.5968136288350823
2025-10-16,85.78,85.66,87.88,85.1,-0.41,1.92,3.23,4.682926829268292,77901.0,673059970.0,下跌,2.5278018771196455
2025-10-16,85.78,85.66,87.88,85.1,-0.41,1.92,3.23,4.682926829268292,77901.0,673059970.0,下跌,2.5278018771196455
2025-10-17,90.0,82.6,90.0,82.23,-3.57,3.55,9.07,0.9943977591036415,144264.0,1214712054.0,下跌,1.9244419906932708
2025-10-17,90.0,82.6,90.0,82.23,-3.57,3.55,9.07,0.9943977591036415,144264.0,1214712054.0,下跌,1.9244419906932708
2025-10-20,84.25,82.33,85.94,81.24,-0.33,3.16,5.69,9.575757575757576,128290.0,1072822459.0,下跌,1.8712043536556502
2025-10-20,84.25,82.33,85.94,81.24,-0.33,3.16,5.69,9.575757575757576,128290.0,1072822459.0,下跌,1.8712043536556502
2025-10-21,82.49,87.98,90.56,81.54,6.86,6.32,10.96,0.9212827988338192,256899.0,2228778391.0,上涨,2.9852512027762446
2025-10-21,82.49,87.98,90.56,81.54,6.86,6.32,10.96,0.9212827988338192,256899.0,2228778391.0,上涨,2.9852512027762446
