A股全量股票涨跌幅排行榜
基准日期: 2026-06-25  截止日期: 2026-07-14  生成时间: 2026-07-14 09:14:06
有效股票数: 5,194  上涨: 1,402  下跌: 3,769  中位数: -5.77%  平均: -6.45%
最大涨幅: +127.43%  最大跌幅: -54.61%

+-------+---------+-------------+---------------+-----------+-----------+-----------+-----------+---------+---------+-------+-------+------+---------+
|  排名  |   代码   |     名称     |      行业      |   总市值   |  基准日价  |   当前价   |   涨跌幅   |  前导天  |  天数比  |  风险  |  机会  | 象限  |    PE    |
|   1255 |  600893  | 航发动力     | 未知           |      883亿 |      38.48 |      33.13 |    -13.90% |       21 |     1.8x |     46 |     43 |   W   |    140.3 |
|   1256 |  300234  | 开尔新材     | 未知           |       34亿 |      11.38 |       9.80 |    -13.88% |        9 |     0.8x |     33 |     65 |   G   |     亏损 |
|   1257 |  688618  | 三旺通信     | 未知           |       30亿 |      31.13 |      26.81 |    -13.88% |       19 |     1.6x |     42 |     60 |   G   |    108.8 |
|   1258 |  603950  | 长源东谷     | 未知           |      208亿 |      74.71 |      64.35 |    -13.87% |        5 |     0.4x |     28 |     43 |   W   |     52.9 |
|   1259 |  300448  | 浩云科技     | 未知           |       33亿 |       5.99 |       5.16 |    -13.86% |        6 |     0.5x |     28 |     53 |   G   |     亏损 |
|   1260 |  300792  | 壹网壹创     | 未知           |       50亿 |      27.13 |      23.37 |    -13.86% |       13 |     1.1x |     42 |     59 |   G   |     49.0 |
|   1261 |  603248  | 锡华科技     | 未知           |       13亿 |      21.50 |      18.52 |    -13.86% |       13 |     1.1x |     42 |     70 |   G   |     43.5 |
|   1262 |  301248  | 杰创智能     | 未知           |       84亿 |      86.69 |      74.68 |    -13.85% |        2 |     0.2x |     28 |     39 |   W   |     亏损 |
|   1263 |  002643  | 万润股份     | 未知           |      148亿 |      19.08 |      16.44 |    -13.84% |        7 |     0.6x |     36 |     66 |   G   |     51.5 |
|   1264 |  002190  | 成飞集成     | 未知           |       77亿 |      24.80 |      21.37 |    -13.83% |       22 |     1.8x |     42 |     48 |   W   |     亏损 |
|   1265 |  600382  | 广东明珠     | 未知           |       42亿 |       6.94 |       5.98 |    -13.83% |        4 |     0.3x |     28 |     43 |   W   |     22.0 |
|   1266 |  002925  | 盈趣科技     | 未知           |      155亿 |      24.60 |      21.20 |    -13.82% |        6 |     0.5x |     28 |     54 |   G   |     27.6 |
|   1267 |  000878  | 云南铜业     | 未知           |      290亿 |      16.80 |      14.48 |    -13.81% |        3 |     0.2x |     28 |     50 |   G   |     26.0 |
|   1268 |  002778  | 中晟高科     | 未知           |       18亿 |      16.82 |      14.50 |    -13.79% |       19 |     1.6x |     44 |     54 |   G   |    124.2 |
|   1269 |  002442  | 龙星科技     | 未知           |       23亿 |       5.37 |       4.63 |    -13.78% |       19 |     1.6x |     44 |     60 |   G   |    117.6 |
|   1270 |  300658  | 延江股份     | 未知           |       23亿 |      12.05 |      10.39 |    -13.78% |       26 |     2.2x |     48 |     48 |   W   |     56.8 |
|   1271 |  603283  | 赛腾股份     | 未知           |      219亿 |      72.09 |      62.17 |    -13.76% |        4 |     0.3x |     28 |     49 |   W   |     43.2 |
|   1272 |  605299  | 舒华体育     | 未知           |       49亿 |      13.95 |      12.03 |    -13.76% |       13 |     1.1x |     44 |     70 |   G   |     46.4 |
|   1273 |  605378  | 野马电池     | 未知           |       34亿 |      15.07 |      13.00 |    -13.74% |        3 |     0.2x |     28 |     50 |   G   |     87.3 |
|   1274 |  002427  | 尤夫股份     | 未知           |       40亿 |       4.66 |       4.02 |    -13.73% |       28 |     2.3x |     48 |     54 |   G   |    311.8 |
|   1275 |  601106  | 中国一重     | 未知           |      198亿 |       3.35 |       2.89 |    -13.73% |       21 |     1.8x |     42 |     48 |   W   |     亏损 |
|   1276 |  002271  | 东方雨虹     | 未知           |      202亿 |      12.25 |      10.57 |    -13.71% |       25 |     2.1x |     52 |     38 |   R   |     78.2 |
|   1277 |  300773  | 拉卡拉       | 未知           |      147亿 |      16.57 |      14.30 |    -13.70% |       30 |     2.5x |     48 |     54 |   G   |      9.3 |
|   1278 |  688065  | 凯赛生物     | 未知           |      251亿 |      49.84 |      43.01 |    -13.70% |        5 |     0.4x |     28 |     38 |   W   |     52.6 |
|   1279 |  000426  | 兴业银锡     | 未知           |      541亿 |      35.28 |      30.45 |    -13.69% |        3 |     0.2x |     28 |     50 |   G   |     20.3 |
|   1280 |  301636  | 泽润新能     | 未知           |       14亿 |      43.23 |      37.33 |    -13.65% |       16 |     1.3x |     42 |     64 |   G   |   4150.9 |
|   1281 |  600268  | 国电南自     | 未知           |      104亿 |      11.87 |      10.25 |    -13.65% |       17 |     1.4x |     42 |     59 |   G   |     21.1 |
|   1282 |  002823  | 凯中精密     | 未知           |       28亿 |      14.96 |      12.92 |    -13.64% |        6 |     0.5x |     28 |     60 |   G   |     17.9 |
|   1283 |  301617  | 博苑新材     | 未知           |       34亿 |      56.60 |      48.88 |    -13.64% |       32 |     2.7x |     54 |     60 |   Y   |     48.7 |
|   1284 |  002789  | *ST建艺      | 未知           |       16亿 |      12.11 |      10.46 |    -13.63% |        3 |     0.2x |     28 |     38 |   W   |     亏损 |
|   1285 |  000555  | 神州信息     | 未知           |       95亿 |      11.24 |       9.71 |    -13.61% |       17 |     1.4x |     42 |     54 |   G   |    166.5 |
|   1286 |  300755  | 华致酒行     | 未知           |       46亿 |      12.65 |      10.93 |    -13.60% |        4 |     0.3x |     30 |     48 |   W   |     亏损 |
|   1287 |  300427  | 红相股份     | 未知           |       29亿 |       6.77 |       5.85 |    -13.59% |       18 |     1.5x |     46 |     48 |   W   |     亏损 |
|   1288 |  605255  | 天普股份     | 未知           |       97亿 |      83.37 |      72.05 |    -13.58% |       21 |     1.8x |     44 |     49 |   W   |    642.3 |
|   1289 |  300375  | 鹏翎股份     | 未知           |       20亿 |       4.35 |       3.76 |    -13.56% |       26 |     2.2x |     48 |     54 |   G   |     亏损 |
|   1290 |  600281  | 华阳新材     | 未知           |       19亿 |       4.35 |       3.76 |    -13.56% |       15 |     1.2x |     44 |     70 |   G   |     亏损 |
|   1291 |  603533  | 掌阅科技     | 未知           |       81亿 |      21.24 |      18.36 |    -13.56% |       15 |     1.2x |     42 |     65 |   G   |     亏损 |
|   1292 |  300988  | 津荣天宇     | 未知           |       22亿 |      16.02 |      13.85 |    -13.55% |       19 |     1.6x |     42 |     48 |   W   |     29.2 |
|   1293 |  301135  | 瑞德智能     | 未知           |       15亿 |      17.28 |      14.94 |    -13.54% |       22 |     1.8x |     42 |     60 |   G   |    113.8 |
|   1294 |  301609  | 山大电力     | 未知           |       11亿 |      34.61 |      29.93 |    -13.52% |       11 |     0.9x |     33 |     64 |   G   |     36.1 |
|   1295 |  688683  | 莱尔科技     | 未知           |       51亿 |      36.54 |      31.60 |    -13.52% |       20 |     1.7x |     46 |     43 |   W   |    113.3 |
|   1296 |  300837  | 浙矿股份     | 未知           |       16亿 |      24.95 |      21.58 |    -13.51% |       16 |     1.3x |     44 |     70 |   G   |     30.0 |
|   1297 |  000783  | 长江证券     | 未知           |      486亿 |      10.15 |       8.78 |    -13.50% |        3 |     0.2x |     28 |     39 |   W   |     11.6 |
|   1298 |  002916  | 深南电路     | 未知           |     2617亿 |     455.00 |     393.59 |    -13.50% |        7 |     0.6x |     33 |     49 |   W   |     73.8 |
|   1299 |  000420  | 吉林化纤     | 未知           |       88亿 |       4.15 |       3.59 |    -13.49% |       23 |     1.9x |     42 |     60 |   G   |    211.6 |
|   1300 |  300341  | 麦克奥迪     | 未知           |       62亿 |      13.86 |      11.99 |    -13.49% |       25 |     2.1x |     48 |     48 |   W   |     34.6 |
|   1301 |  603161  | 科华控股     | 未知           |       24亿 |      14.24 |      12.32 |    -13.48% |       18 |     1.5x |     44 |     64 |   G   |     27.3 |
|   1302 |  300880  | 迦南智能     | 未知           |       40亿 |      23.75 |      20.55 |    -13.47% |       21 |     1.8x |     42 |     54 |   G   |     52.8 |
|   1303 |  603777  | 来伊份       | 未知           |       48亿 |      16.70 |      14.45 |    -13.47% |       22 |     1.8x |     44 |     53 |   G   |     亏损 |
|   1304 |  300629  | 新劲刚       | 未知           |       39亿 |      20.80 |      18.00 |    -13.46% |       19 |     1.6x |     42 |     53 |   G   |     40.8 |
|   1305 |  301099  | 雅创电子     | 未知           |       72亿 |      72.77 |      62.97 |    -13.46% |        7 |     0.6x |     33 |     49 |   W   |     64.2 |
|   1306 |  002155  | 湖南黄金     | 未知           |      347亿 |      25.65 |      22.20 |    -13.45% |       33 |     2.8x |     48 |     54 |   G   |     19.8 |
|   1307 |  688133  | 泰坦科技     | 未知           |       32亿 |      22.31 |      19.31 |    -13.45% |        7 |     0.6x |     33 |     49 |   W   |     亏损 |
|   1308 |  600733  | 北汽蓝谷     | 未知           |      251亿 |       5.21 |       4.51 |    -13.44% |        6 |     0.5x |     30 |     48 |   W   |     亏损 |
|   1309 |  002259  | 升达林业     | 未知           |       26亿 |       4.02 |       3.48 |    -13.43% |       13 |     1.1x |     44 |     70 |   G   |     13.3 |
|   1310 |  002164  | 宁波东力     | 未知           |       50亿 |      12.15 |      10.52 |    -13.42% |       11 |     0.9x |     33 |     70 |   G   |     27.7 |
|   1311 |  300225  | 金力泰       | 未知           |       33亿 |       7.98 |       6.91 |    -13.41% |        6 |     0.5x |     28 |     60 |   G   |    128.0 |
|   1312 |  601798  | 蓝科高新     | 未知           |       24亿 |       7.83 |       6.78 |    -13.41% |       30 |     2.5x |     52 |     49 |   R   |     44.1 |
|   1313 |  300349  | 金卡智能     | 未知           |       36亿 |      11.34 |       9.82 |    -13.40% |       16 |     1.3x |     42 |     70 |   G   |     16.3 |
|   1314 |  300733  | 西菱动力     | 未知           |       32亿 |      12.76 |      11.05 |    -13.40% |        4 |     0.3x |     30 |     54 |   G   |     54.8 |
|   1315 |  300749  | 顶固集创     | 未知           |       33亿 |      24.07 |      20.85 |    -13.38% |        5 |     0.4x |     28 |     54 |   G   |     亏损 |
|   1316 |  301128  | 强瑞技术     | 未知           |      190亿 |     151.21 |     130.98 |    -13.38% |        3 |     0.2x |     28 |     44 |   W   |    131.4 |
|   1317 |  688458  | 美芯晟       | 未知           |       34亿 |      41.47 |      35.92 |    -13.38% |       12 |     1.0x |     33 |     64 |   G   |     亏损 |
|   1318 |  300940  | 南极光       | 未知           |       21亿 |      15.11 |      13.09 |    -13.37% |       17 |     1.4x |     42 |     70 |   G   |     44.8 |
|   1319 |  605066  | 天正电气     | 未知           |       31亿 |       7.11 |       6.16 |    -13.36% |        9 |     0.8x |     33 |     65 |   G   |     40.0 |
|   1320 |  600665  | 天地源       | 未知           |       25亿 |       3.37 |       2.92 |    -13.35% |        8 |     0.7x |     36 |     54 |   G   |     亏损 |
|   1321 |  603121  | 华培动力     | 未知           |       38亿 |      12.81 |      11.10 |    -13.35% |        5 |     0.4x |     30 |     54 |   G   |     亏损 |
|   1322 |  002865  | 钧达股份     | 未知           |      113亿 |      58.10 |      50.35 |    -13.34% |        6 |     0.5x |     28 |     60 |   G   |     亏损 |
|   1323 |  300050  | 世纪鼎利     | 未知           |       29亿 |       6.22 |       5.39 |    -13.34% |       15 |     1.2x |     42 |     64 |   G   |    175.6 |
|   1324 |  603693  | 江苏新能     | 未知           |       99亿 |      12.82 |      11.11 |    -13.34% |       13 |     1.1x |     44 |     59 |   G   |     21.9 |
|   1325 |  002438  | 江苏神通     | 未知           |       59亿 |      14.63 |      12.68 |    -13.33% |       16 |     1.3x |     42 |     64 |   G   |     22.9 |
|   1326 |  300011  | 鼎汉技术     | 未知           |       28亿 |       6.38 |       5.53 |    -13.32% |       32 |     2.7x |     48 |     49 |   W   |     亏损 |
|   1327 |  603370  | 华新精科     | 未知           |       11亿 |      36.72 |      31.83 |    -13.32% |        6 |     0.5x |     28 |     65 |   G   |     37.2 |
|   1328 |  300784  | 利安科技     | 未知           |        7亿 |      44.69 |      38.74 |    -13.31% |       23 |     1.9x |     42 |     60 |   G   |     46.5 |
|   1329 |  002290  | 禾盛新材     | 未知           |      192亿 |      89.75 |      77.82 |    -13.29% |        8 |     0.7x |     33 |     60 |   G   |    124.2 |
|   1330 |  300618  | 寒锐钴业     | 未知           |       87亿 |      36.80 |      31.91 |    -13.29% |       23 |     1.9x |     42 |     60 |   G   |     35.8 |
|   1331 |  300623  | 捷捷微电     | 未知           |      275亿 |      41.38 |      35.88 |    -13.29% |        6 |     0.5x |     28 |     54 |   G   |     64.2 |
|   1332 |  000039  | 中集集团     | 未知           |      176亿 |       8.81 |       7.64 |    -13.28% |       15 |     1.2x |     48 |     54 |   G   |     亏损 |
|   1333 |  300644  | 南京聚隆     | 未知           |       19亿 |      24.24 |      21.02 |    -13.28% |       21 |     1.8x |     42 |     60 |   G   |     18.2 |
|   1334 |  601696  | 中银证券     | 未知           |      318亿 |      13.18 |      11.43 |    -13.28% |        8 |     0.7x |     33 |     60 |   G   |     28.2 |
|   1335 |  603356  | 华菱精工     | 未知           |       20亿 |      17.69 |      15.34 |    -13.28% |       47 |     3.9x |     48 |     50 |   G   |     亏损 |
|   1336 |  688051  | 佳华科技     | 未知           |       17亿 |      25.08 |      21.75 |    -13.28% |       13 |     1.1x |     44 |     70 |   G   |     亏损 |
|   1337 |  002952  | 亚世光电     | 未知           |       25亿 |      21.86 |      18.96 |    -13.27% |       16 |     1.3x |     42 |     70 |   G   |    205.6 |
|   1338 |  300724  | 捷佳伟创     | 未知           |      170亿 |      68.15 |      59.11 |    -13.26% |       18 |     1.5x |     42 |     64 |   G   |      9.4 |
|   1339 |  603838  | *ST四通      | 未知           |       26亿 |       9.43 |       8.18 |    -13.26% |       60 |     5.0x |     58 |     38 |   R   |     亏损 |
|   1340 |  688283  | 坤恒顺维     | 未知           |       36亿 |      33.65 |      29.20 |    -13.22% |        7 |     0.6x |     37 |     49 |   W   |     68.5 |
|   1341 |  300907  | 康平科技     | 未知           |       47亿 |      56.26 |      48.83 |    -13.21% |        4 |     0.3x |     28 |     49 |   W   |    109.9 |
|   1342 |  605055  | 迎丰股份     | 未知           |       43亿 |      11.15 |       9.68 |    -13.18% |       17 |     1.4x |     44 |     64 |   G   |     亏损 |
|   1343 |  688787  | 海天瑞声     | 未知           |       74亿 |     140.40 |     121.91 |    -13.17% |       53 |     4.4x |     56 |     38 |   R   |    332.0 |
|   1344 |  300083  | 创世纪       | 未知           |      171亿 |      13.16 |      11.43 |    -13.15% |        2 |     0.2x |     28 |     38 |   W   |    162.4 |
|   1345 |  300103  | 达刚控股     | 未知           |       22亿 |       8.06 |       7.00 |    -13.15% |       17 |     1.4x |     46 |     54 |   G   |     亏损 |
|   1346 |  000737  | 北方铜业     | 未知           |      226亿 |      13.63 |      11.84 |    -13.13% |       30 |     2.5x |     48 |     54 |   G   |     21.8 |
|   1347 |  300786  | 国林科技     | 未知           |       29亿 |      23.16 |      20.12 |    -13.13% |        9 |     0.8x |     33 |     59 |   G   |     亏损 |
|   1348 |  002112  | 三变科技     | 未知           |       38亿 |      16.78 |      14.58 |    -13.11% |       25 |     2.1x |     48 |     54 |   G   |    264.1 |
|   1349 |  301076  | 新瀚新材     | 未知           |       34亿 |      25.78 |      22.40 |    -13.11% |        6 |     0.5x |     28 |     65 |   G   |     77.2 |
|   1350 |  000955  | 欣龙控股     | 未知           |       22亿 |       4.74 |       4.12 |    -13.08% |        7 |     0.6x |     36 |     54 |   G   |   2477.3 |
|   1351 |  688377  | 迪威尔       | 未知           |       48亿 |      23.63 |      20.54 |    -13.08% |       12 |     1.0x |     33 |     70 |   G   |     41.6 |
|   1352 |  301157  | 华塑科技     | 未知           |       12亿 |      66.35 |      57.68 |    -13.07% |       25 |     2.1x |     48 |     38 |   W   |    111.6 |
|   1353 |  688193  | 仁度生物     | 未知           |       19亿 |      54.47 |      47.35 |    -13.07% |       13 |     1.1x |     42 |     65 |   G   |    136.9 |
|   1354 |  301279  | 金道科技     | 未知           |       26亿 |      22.58 |      19.63 |    -13.06% |       22 |     1.8x |     44 |     65 |   G   |     50.8 |
|   1355 |  301536  | 星宸科技     | 未知           |      208亿 |     127.85 |     111.15 |    -13.06% |        2 |     0.2x |     28 |     33 |   W   |     98.2 |
|   1356 |  300337  | 银邦股份     | 未知           |       72亿 |      11.57 |      10.06 |    -13.05% |       19 |     1.6x |     42 |     48 |   W   |     95.8 |
|   1357 |  300599  | 雄塑科技     | 未知           |       30亿 |      10.88 |       9.46 |    -13.05% |        5 |     0.4x |     30 |     54 |   G   |     亏损 |
|   1358 |  300797  | 钢研纳克     | 未知           |       46亿 |      13.80 |      12.00 |    -13.04% |       32 |     2.7x |     48 |     43 |   W   |     28.1 |
|   1359 |  600678  | ST金顶       | 未知           |       21亿 |       6.90 |       6.00 |    -13.04% |        8 |     0.7x |     33 |     54 |   G   |     亏损 |
|   1360 |  301226  | 祥明智能     | 未知           |       31亿 |      32.27 |      28.07 |    -13.02% |       19 |     1.6x |     42 |     60 |   G   |    292.1 |
|   1361 |  301330  | 熵基科技     | 未知           |       44亿 |      26.03 |      22.64 |    -13.02% |       26 |     2.2x |     48 |     48 |   W   |     26.9 |
|   1362 |  002169  | 智光电气     | 未知           |      101亿 |      15.37 |      13.37 |    -13.01% |       19 |     1.6x |     42 |     48 |   W   |     53.6 |
|   1363 |  002857  | 三晖电气     | 未知           |       19亿 |      17.08 |      14.86 |    -13.00% |       17 |     1.4x |     42 |     70 |   G   |     亏损 |
|   1364 |  600058  | 五矿发展     | 未知           |      110亿 |      11.77 |      10.24 |    -13.00% |        4 |     0.3x |     28 |     49 |   W   |     亏损 |
|   1365 |  002397  | 梦洁股份     | 未知           |       23亿 |       4.08 |       3.55 |    -12.99% |       17 |     1.4x |     42 |     64 |   G   |     47.5 |
|   1366 |  002578  | 闽发铝业     | 未知           |       25亿 |       3.31 |       2.88 |    -12.99% |       13 |     1.1x |     44 |     64 |   G   |     亏损 |
|   1367 |  603138  | 海量数据     | 未知           |       37亿 |      14.72 |      12.81 |    -12.98% |       10 |     0.8x |     33 |     64 |   G   |     亏损 |
|   1368 |  002108  | 沧州明珠     | 未知           |       65亿 |       4.55 |       3.96 |    -12.97% |       22 |     1.8x |     42 |     43 |   W   |     43.7 |
|   1369 |  301369  | 联动科技     | 未知           |      111亿 |     232.59 |     202.43 |    -12.97% |        6 |     0.5x |     32 |     38 |   W   |    523.0 |
|   1370 |  603077  | 和邦生物     | 未知           |      184亿 |       2.39 |       2.08 |    -12.97% |       30 |     2.5x |     48 |     48 |   W   |     亏损 |
|   1371 |  002298  | 中电鑫龙     | 未知           |       44亿 |       7.64 |       6.65 |    -12.96% |       14 |     1.2x |     42 |     59 |   G   |     亏损 |
|   1372 |  301127  | 武汉天源     | 未知           |      108亿 |      18.87 |      16.43 |    -12.94% |        4 |     0.3x |     28 |     49 |   W   |     51.7 |
|   1373 |  000035  | 中国天楹     | 未知           |      102亿 |       5.04 |       4.39 |    -12.90% |       15 |     1.2x |     48 |     54 |   G   |     36.2 |
|   1374 |  300203  | 聚光科技     | 未知           |       54亿 |      13.89 |      12.10 |    -12.89% |       12 |     1.0x |     33 |     70 |   G   |     亏损 |
|   1375 |  300501  | 海顺新材     | 未知           |       32亿 |      13.28 |      11.57 |    -12.88% |       26 |     2.2x |     48 |     54 |   G   |     亏损 |
|   1376 |  688469  | 芯联集成     | 未知           |      508亿 |       9.94 |       8.66 |    -12.88% |        4 |     0.3x |     30 |     43 |   W   |     亏损 |
|   1377 |  003002  | 壶化股份     | 未知           |       29亿 |      18.50 |      16.12 |    -12.86% |        4 |     0.3x |     30 |     54 |   G   |     19.6 |
|   1378 |  600191  | 华资实业     | 未知           |       42亿 |      10.03 |       8.74 |    -12.86% |        4 |     0.3x |     30 |     54 |   G   |     61.7 |
|   1379 |  000042  | 中洲控股     | 未知           |       52亿 |       8.95 |       7.80 |    -12.85% |       26 |     2.2x |     52 |     49 |   R   |     亏损 |
|   1380 |  002757  | 南兴股份     | 未知           |       48亿 |      19.37 |      16.88 |    -12.85% |       10 |     0.8x |     37 |     54 |   G   |     41.5 |
|   1381 |  300277  | 汽轮科技     | 未知           |      100亿 |      14.96 |      13.04 |    -12.85% |        9 |     0.8x |     33 |     70 |   G   |    431.6 |
|   1382 |  002331  | 皖通科技     | 未知           |       27亿 |       7.79 |       6.79 |    -12.84% |       22 |     1.8x |     42 |     54 |   G   |     亏损 |
|   1383 |  300187  | 永清环保     | 未知           |       31亿 |       5.53 |       4.82 |    -12.84% |       54 |     4.5x |     58 |     33 |   R   |     24.0 |
|   1384 |  603980  | 吉华集团     | 未知           |       40亿 |       6.70 |       5.84 |    -12.84% |        4 |     0.3x |     28 |     49 |   W   |     42.4 |
|   1385 |  688592  | 司南导航     | 未知           |       14亿 |      29.60 |      25.80 |    -12.83% |        9 |     0.8x |     33 |     54 |   G   |    158.5 |
|   1386 |  600438  | 通威股份     | 未知           |      481亿 |      12.25 |      10.68 |    -12.82% |        9 |     0.8x |     33 |     64 |   G   |     亏损 |
|   1387 |  601399  | 国机重装     | 未知           |      221亿 |       3.51 |       3.06 |    -12.82% |       26 |     2.2x |     48 |     54 |   G   |     46.0 |
|   1388 |  688419  | 耐科装备     | 未知           |       72亿 |      72.46 |      63.17 |    -12.82% |        7 |     0.6x |     33 |     49 |   W   |    100.7 |
|   1389 |  001280  | 中国铀业     | 未知           |      103亿 |      68.08 |      59.36 |    -12.81% |       28 |     2.3x |     48 |     43 |   W   |     71.4 |
|   1390 |  300977  | 深圳瑞捷     | 未知           |       14亿 |      16.47 |      14.36 |    -12.81% |       16 |     1.3x |     44 |     70 |   G   |     99.0 |
|   1391 |  600391  | 航发科技     | 未知           |       92亿 |      31.88 |      27.80 |    -12.80% |       19 |     1.6x |     42 |     54 |   G   |    199.7 |
|   1392 |  301479  | 弘景光电     | 未知           |       37亿 |      60.26 |      52.55 |    -12.79% |       19 |     1.6x |     42 |     60 |   G   |     35.6 |
|   1393 |  603636  | 南威软件     | 未知           |       42亿 |       8.21 |       7.16 |    -12.79% |        6 |     0.5x |     28 |     53 |   G   |     亏损 |
|   1394 |  688345  | 博力威       | 未知           |       49亿 |      54.88 |      47.86 |    -12.79% |        9 |     0.8x |     33 |     70 |   G   |     68.6 |
|   1395 |  688228  | 开普云       | 未知           |       48亿 |      80.83 |      70.50 |    -12.78% |       19 |     1.6x |     42 |     53 |   G   |     亏损 |
|   1396 |  688031  | 星环科技     | 未知           |      122亿 |     115.27 |     100.55 |    -12.77% |       10 |     0.8x |     33 |     64 |   G   |     亏损 |
|   1397 |  601011  | 宝泰隆       | 未知           |       48亿 |       2.90 |       2.53 |    -12.76% |       52 |     4.3x |     56 |     38 |   R   |     亏损 |
|   1398 |  300881  | 盛德鑫泰     | 未知           |       20亿 |      40.50 |      35.34 |    -12.74% |       13 |     1.1x |     48 |     54 |   G   |     16.0 |
|   1399 |  300787  | 海能实业     | 未知           |       16亿 |       9.43 |       8.23 |    -12.73% |       30 |     2.5x |     48 |     54 |   G   |     39.5 |
|   1400 |  301107  | 瑜欣电子     | 未知           |       16亿 |      21.99 |      19.19 |    -12.73% |        3 |     0.2x |     28 |     55 |   G   |     44.1 |
|   1401 |  300296  | 利亚德       | 未知           |      116亿 |       5.74 |       5.01 |    -12.72% |        4 |     0.3x |     28 |     54 |   G   |     54.9 |
|   1402 |  600366  | 宁波韵升     | 未知           |      151亿 |      15.73 |      13.73 |    -12.72% |        7 |     0.6x |     33 |     60 |   G   |     36.8 |
|   1403 |  002368  | 太极股份     | 未知           |       86亿 |      15.83 |      13.82 |    -12.70% |       37 |     3.1x |     48 |     33 |   W   |     亏损 |
|   1404 |  600319  | 亚星化学     | 未知           |       22亿 |       6.62 |       5.78 |    -12.69% |       21 |     1.8x |     46 |     43 |   W   |     亏损 |
|   1405 |  600777  | 新潮能源     | 未知           |      276亿 |       4.97 |       4.34 |    -12.68% |       12 |     1.0x |     39 |     54 |   G   |     38.9 |
|   1406 |  603662  | 柯力传感     | 未知           |      165亿 |      67.17 |      58.65 |    -12.68% |       17 |     1.4x |     42 |     70 |   G   |     53.8 |
|   1407 |  002459  | 晶澳科技     | 未知           |      232亿 |       8.05 |       7.03 |    -12.67% |       19 |     1.6x |     42 |     60 |   G   |     亏损 |
|   1408 |  002988  | 豪美新材     | 未知           |       50亿 |      22.98 |      20.07 |    -12.66% |       13 |     1.1x |     42 |     70 |   G   |     42.9 |
|   1409 |  301181  | 标榜股份     | 未知           |       24亿 |      23.70 |      20.70 |    -12.66% |        4 |     0.3x |     28 |     54 |   G   |     27.5 |
|   1410 |  688303  | 大全能源     | 未知           |      333亿 |      17.79 |      15.54 |    -12.65% |        6 |     0.5x |     28 |     53 |   G   |     亏损 |
|   1411 |  002134  | 天津普林     | 未知           |       64亿 |      29.58 |      25.84 |    -12.64% |       12 |     1.0x |     33 |     64 |   G   |    403.9 |
|   1412 |  002976  | 瑞玛精密     | 未知           |       29亿 |      27.46 |      23.99 |    -12.64% |        3 |     0.2x |     28 |     28 |   W   |     亏损 |
|   1413 |  300807  | 天迈科技     | 未知           |       18亿 |      40.75 |      35.60 |    -12.64% |       20 |     1.7x |     42 |     54 |   G   |     亏损 |
|   1414 |  301320  | 豪江智能     | 未知           |       14亿 |      13.53 |      11.82 |    -12.64% |       13 |     1.1x |     42 |     70 |   G   |     亏损 |
|   1415 |  600299  | 安迪苏       | 未知           |      241亿 |       8.94 |       7.81 |    -12.64% |       13 |     1.1x |     44 |     65 |   G   |     24.2 |
|   1416 |  002915  | 中欣氟材     | 未知           |       48亿 |      19.01 |      16.61 |    -12.62% |        7 |     0.6x |     33 |     71 |   G   |    519.7 |
|   1417 |  603822  | ST嘉澳       | 未知           |       47亿 |      70.16 |      61.31 |    -12.61% |        9 |     0.8x |     37 |     54 |   G   |    138.5 |
|   1418 |  301138  | 华研精机     | 未知           |       18亿 |      30.79 |      26.91 |    -12.60% |        8 |     0.7x |     33 |     54 |   G   |     34.2 |
|   1419 |  301500  | 飞南资源     | 未知           |       35亿 |      27.45 |      23.99 |    -12.59% |       11 |     0.9x |     33 |     70 |   G   |     19.6 |
|   1420 |  300568  | 星源材质     | 未知           |      188亿 |      17.82 |      15.58 |    -12.57% |       13 |     1.1x |     42 |     76 |   G   |   1230.4 |
|   1421 |  600775  | 南京熊猫     | 未知           |       59亿 |      10.02 |       8.76 |    -12.57% |       22 |     1.8x |     42 |     48 |   W   |    245.0 |
|   1422 |  688729  | 屹唐股份     | 未知           |      568亿 |      37.15 |      32.49 |    -12.55% |        5 |     0.4x |     32 |     38 |   W   |    156.8 |
|   1423 |  300931  | 通用电梯     | 未知           |       29亿 |      16.98 |      14.85 |    -12.54% |        7 |     0.6x |     36 |     60 |   G   |     亏损 |
|   1424 |  002283  | 天润工业     | 未知           |       85亿 |       9.74 |       8.52 |    -12.53% |        3 |     0.2x |     28 |     38 |   W   |     23.4 |
|   1425 |  301382  | 蜂助手       | 未知           |       87亿 |      42.07 |      36.80 |    -12.53% |        6 |     0.5x |     30 |     60 |   G   |     67.9 |
|   1426 |  688030  | 山石网科     | 未知           |       25亿 |      15.80 |      13.82 |    -12.53% |       22 |     1.8x |     42 |     48 |   W   |     亏损 |
|   1427 |  002229  | 鸿博股份     | 未知           |       46亿 |      10.78 |       9.43 |    -12.52% |        4 |     0.3x |     28 |     43 |   W   |     亏损 |
|   1428 |  301002  | 崧盛股份     | 未知           |       30亿 |      39.68 |      34.72 |    -12.50% |       11 |     0.9x |     37 |     54 |   G   |    412.1 |
|   1429 |  600906  | 财达证券     | 未知           |      149亿 |       8.00 |       7.00 |    -12.50% |        8 |     0.7x |     36 |     60 |   G   |     25.7 |
