code,date,direction,shares,price,commission,stamp_tax,pnl
600323.SH,2020-07-20,buy,76100,26.306,500.48,0.0,0.0
000423.SZ,2020-07-20,buy,55000,36.336,499.62,0.0,0.0
600233.SH,2020-07-20,buy,123700,16.176,500.25,0.0,0.0
600011.SH,2020-07-20,buy,401600,4.985,500.49,0.0,0.0
000301.SZ,2020-07-21,buy,325900,6.056,493.42,0.0,0.0
600323.SH,2020-08-17,sell,76100,28.631,544.71,2178.84,174213.51
000423.SZ,2020-08-17,sell,55000,39.75,546.57,2186.26,185032.22
600233.SH,2020-08-17,sell,123700,14.945,462.18,1848.7,-154600.42
600011.SH,2020-08-17,sell,401600,5.005,502.5,2010.0,5523.51
000883.SZ,2020-08-17,buy,5100,3.874,4.94,0.0,0.0
600011.SH,2020-08-17,buy,4000,5.015,5.02,0.0,0.0
002317.SZ,2020-08-17,buy,1300,15.375,5.0,0.0,0.0
300624.SZ,2020-08-17,buy,300,65.696,4.93,0.0,0.0
000301.SZ,2020-08-18,sell,325900,5.764,469.64,1878.56,-97452.34
600733.SH,2020-08-18,buy,277500,7.297,506.25,0.0,0.0
000883.SZ,2020-09-09,sell,5100,3.886,4.95,19.82,37.65
600011.SH,2020-09-09,sell,4000,5.684,5.68,22.74,2648.78
002317.SZ,2020-09-09,sell,1300,14.905,4.84,19.38,-635.58
300624.SZ,2020-09-09,sell,300,64.635,4.85,19.39,-342.34
600733.SH,2020-09-09,sell,277500,6.693,464.35,1857.39,-169928.96
002648.SZ,2020-09-15,buy,105500,18.859,497.4,0.0,0.0
300751.SZ,2020-09-15,buy,5500,358.018,492.27,0.0,0.0
600754.SH,2020-09-15,buy,48500,41.021,497.38,0.0,0.0
300037.SZ,2020-09-15,buy,34900,56.987,497.21,0.0,0.0
000883.SZ,2020-09-16,buy,503100,3.904,491.01,0.0,0.0
002648.SZ,2020-09-24,sell,105500,20.13,530.92,2123.7,131436.93
300751.SZ,2020-09-24,sell,5500,342.987,471.61,1886.43,-85028.48
600754.SH,2020-09-24,sell,48500,39.47,478.58,1914.32,-77591.66
300037.SZ,2020-09-24,sell,34900,56.124,489.68,1958.72,-32570.94
000883.SZ,2020-09-24,sell,503100,3.696,464.9,1859.61,-106768.07
002690.SZ,2020-09-29,buy,40600,48.058,487.79,0.0,0.0
300454.SZ,2020-09-29,buy,9300,208.698,485.22,0.0,0.0
000883.SZ,2020-10-09,buy,521400,3.774,491.91,0.0,0.0
600733.SH,2020-10-09,buy,321100,6.126,491.77,0.0,0.0
300363.SZ,2020-10-09,buy,56600,33.904,479.74,0.0,0.0
002690.SZ,2020-10-30,sell,40600,42.218,428.51,1714.04,-239257.51
300454.SZ,2020-10-30,sell,9300,190.05,441.87,1767.46,-175642.52
000883.SZ,2020-10-30,sell,521400,3.956,515.67,2062.68,92457.23
600733.SH,2020-10-30,sell,321100,6.633,532.49,2129.97,160212.3
300363.SZ,2020-10-30,sell,56600,38.052,538.43,2153.74,232086.89
000301.SZ,2020-11-02,buy,302600,6.506,492.22,0.0,0.0
600733.SH,2020-11-02,buy,284200,6.927,492.16,0.0,0.0
300763.SZ,2020-11-02,buy,15300,128.188,490.32,0.0,0.0
300751.SZ,2020-11-02,buy,4600,427.737,491.9,0.0,0.0
300454.SZ,2020-11-02,buy,9800,197.197,483.13,0.0,0.0
000301.SZ,2020-11-30,sell,302600,10.02,758.01,3032.04,1059385.97
600733.SH,2020-11-30,sell,284200,8.601,611.13,2444.52,472828.73
300763.SZ,2020-11-30,sell,15300,104.585,400.04,1600.16,-363122.27
300751.SZ,2020-11-30,sell,4600,496.763,571.28,2285.11,314660.59
300454.SZ,2020-11-30,sell,9800,201.478,493.62,1974.49,39488.83
688180.SH,2020-11-30,buy,400,71.271,7.13,0.0,0.0
300182.SZ,2020-11-30,buy,6200,5.435,8.42,0.0,0.0
300363.SZ,2020-12-01,buy,69300,32.783,567.96,0.0,0.0
002690.SZ,2020-12-01,buy,48000,47.277,567.33,0.0,0.0
600323.SH,2020-12-01,buy,92200,24.635,567.83,0.0,0.0
688180.SH,2020-12-28,sell,400,72.158,7.22,28.86,318.55
300182.SZ,2020-12-28,sell,6200,3.516,5.45,21.8,-11924.74
000883.SZ,2020-12-28,buy,560900,4.054,568.48,0.0,0.0
688561.SH,2020-12-28,buy,18000,123.924,557.66,0.0,0.0
300363.SZ,2020-12-29,sell,69300,34.495,597.63,2390.54,115703.33
002690.SZ,2020-12-29,sell,48000,42.957,515.48,2061.94,-209948.46
600323.SH,2020-12-29,sell,92200,24.086,555.18,2220.72,-53367.88
600323.SH,2020-12-29,buy,1000,24.134,6.03,0.0,0.0
300624.SZ,2020-12-29,buy,400,52.412,5.24,0.0,0.0
300747.SZ,2020-12-29,buy,300,82.102,6.16,0.0,0.0
000883.SZ,2021-01-26,sell,560900,3.576,501.5,2006.01,-270410.18
688561.SH,2021-01-26,sell,18000,119.131,536.09,2144.35,-88955.34
300133.SZ,2021-01-26,buy,335800,6.466,542.86,0.0,0.0
002567.SZ,2021-01-26,buy,258600,8.398,542.96,0.0,0.0
600323.SH,2021-01-27,sell,1000,22.168,5.54,22.17,-1994.01
300624.SZ,2021-01-27,sell,400,55.295,5.53,22.12,1125.27
300747.SZ,2021-01-27,sell,300,95.784,7.18,28.74,4068.71
002690.SZ,2021-01-27,buy,46700,46.787,546.24,0.0,0.0
600025.SH,2021-01-27,buy,494500,4.424,546.97,0.0,0.0
601021.SH,2021-01-27,buy,35400,59.249,524.36,0.0,0.0
300133.SZ,2021-02-05,sell,335800,6.314,530.03,2120.13,-53953.69
002567.SZ,2021-02-05,sell,258600,7.702,497.95,1991.81,-182501.23
002690.SZ,2021-02-05,sell,46700,45.724,533.83,2135.32,-52288.37
600025.SH,2021-02-05,sell,494500,4.555,563.17,2252.67,61973.56
601021.SH,2021-02-05,sell,35400,62.627,554.25,2217.01,116814.19
300133.SZ,2021-02-08,buy,309900,6.927,536.66,0.0,0.0
300070.SZ,2021-02-08,buy,289800,7.407,536.67,0.0,0.0
600754.SH,2021-02-09,buy,37700,56.707,534.46,0.0,0.0
601021.SH,2021-02-09,buy,33200,64.504,535.39,0.0,0.0
002317.SZ,2021-02-10,buy,250500,8.498,532.22,0.0,0.0
300133.SZ,2021-03-08,sell,309900,6.084,471.35,1885.4,-263605.55
300070.SZ,2021-03-08,sell,289800,7.892,571.78,2287.13,137607.15
600754.SH,2021-03-08,sell,37700,45.554,429.35,1717.4,-422586.58
601021.SH,2021-03-08,sell,33200,59.141,490.87,1963.47,-180527.19
002317.SZ,2021-03-08,sell,250500,8.531,534.28,2137.13,5587.57
002690.SZ,2021-03-17,buy,44500,44.895,499.46,0.0,0.0
300182.SZ,2021-03-17,buy,578000,3.463,500.47,0.0,0.0
000423.SZ,2021-03-17,buy,55700,35.916,500.13,0.0,0.0
002317.SZ,2021-03-18,buy,232300,8.579,498.2,0.0,0.0
300751.SZ,2021-03-18,buy,4500,431.841,485.82,0.0,0.0
002690.SZ,2021-04-15,sell,44500,43.437,483.23,1932.93,-67311.84
300182.SZ,2021-04-15,sell,578000,3.237,467.71,1870.85,-133371.16
000423.SZ,2021-04-15,sell,55700,35.514,494.54,1978.15,-24832.34
002690.SZ,2021-04-15,buy,1300,43.523,14.15,0.0,0.0
688561.SH,2021-04-15,buy,600,91.782,13.77,0.0,0.0
300482.SZ,2021-04-15,buy,600,86.476,12.97,0.0,0.0
002317.SZ,2021-04-16,sell,232300,8.372,486.18,1944.73,-50505.39
300751.SZ,2021-04-16,sell,4500,568.511,639.57,2558.3,611814.92
002317.SZ,2021-04-16,buy,246800,8.388,517.56,0.0,0.0
300251.SZ,2021-04-16,buy,175400,11.802,517.51,0.0,0.0
002690.SZ,2021-05-18,sell,1300,47.622,15.48,61.91,5251.12
688561.SH,2021-05-18,sell,600,91.009,13.65,54.61,-531.93
300482.SZ,2021-05-18,sell,600,89.91,13.49,53.95,1992.73
300624.SZ,2021-05-18,buy,47000,44.925,527.87,0.0,0.0
688599.SH,2021-05-18,buy,121300,17.397,527.58,0.0,0.0
002294.SZ,2021-05-18,buy,53800,36.286,488.05,0.0,0.0
002317.SZ,2021-05-19,sell,246800,8.741,539.34,2157.34,84391.64
300251.SZ,2021-05-19,sell,175400,12.238,536.63,2146.5,73784.26
600323.SH,2021-05-19,buy,900,24.735,5.57,0.0,0.0
688536.SH,2021-05-20,buy,5000,413.443,516.8,0.0,0.0
300624.SZ,2021-06-16,sell,47000,62.937,739.51,2958.04,842872.09
688599.SH,2021-06-16,sell,121300,19.97,605.59,2422.36,309032.07
002294.SZ,2021-06-16,sell,53800,31.948,429.7,1718.8,-235545.28
002690.SZ,2021-06-16,buy,42100,51.982,547.11,0.0,0.0
600323.SH,2021-06-17,sell,900,21.858,4.92,19.67,-2613.52
300747.SZ,2021-06-17,buy,24600,98.298,604.53,0.0,0.0
688536.SH,2021-06-18,sell,5000,559.52,699.4,2797.6,726887.45
688599.SH,2021-06-18,buy,110700,22.142,612.78,0.0,0.0
688536.SH,2021-06-18,buy,4300,560.64,602.69,0.0,0.0
300482.SZ,2021-06-21,buy,36000,70.15,631.35,0.0,0.0
002690.SZ,2021-07-14,sell,42100,53.267,560.63,2242.53,51284.82
002690.SZ,2021-07-14,buy,2500,53.373,33.36,0.0,0.0
300747.SZ,2021-07-15,sell,24600,101.159,622.13,2488.51,67258.65
300119.SZ,2021-07-15,buy,70500,31.221,550.27,0.0,0.0
688599.SH,2021-07-16,sell,110700,36.294,1004.43,4017.71,1561554.45
688536.SH,2021-07-16,sell,4300,535.474,575.63,2302.54,-111092.36
002317.SZ,2021-07-16,buy,260000,9.54,620.07,0.0,0.0
600188.SH,2021-07-16,buy,138400,17.918,619.96,0.0,0.0
