time,event,order,label,shares,price,fee,cash,position
2026-04-21T09:35:00,12,1,MOM long,100,373.9,18.695,62591.305,300
2026-04-21T09:36:00,14,3,MOM stop-loss,-100,367.99,18.3995,99371.9055,200
2026-04-21T09:40:00,22,4,MOM long,100,365.33,18.2665,62820.638999999996,300
2026-04-21T10:22:00,106,5,MOM sellback,-100,371.27,18.5635,99929.0755,200
2026-04-22T09:33:00,489,6,REV-T sell,-100,386.42,19.321,138551.7545,100
2026-04-22T09:43:00,509,7,MOM short,-100,390.6,19.53,177592.2245,0
