time,event,order,label,shares,price,fee,cash,position
2026-04-21T09:49:00,40,1,MOM short,-100,369.0,11.069999999999999,136888.93,100
2026-04-21T14:59:00,480,4,MOM force buyback,100,381.58,11.447399999999998,98719.48259999999,200
2026-04-22T09:37:00,497,5,REV-T sell,-100,391.0,11.729999999999999,137807.75259999998,100
2026-04-23T10:44:00,1112,6,REV-T buyback(NORMAL),100,386.65,11.599499999999999,99131.15309999998,200
2026-04-24T09:37:00,1459,7,MOM short,-100,379.13,11.373899999999999,137032.7792,100
2026-04-24T10:15:00,1535,8,MOM buyback,100,373.9,11.216999999999999,99631.56219999999,200
2026-04-27T09:36:00,1938,9,REV-T sell,-100,384.31,11.5293,138051.0329,100
2026-04-27T09:52:00,1970,10,REV-T buyback(NORMAL),100,377.39,11.3217,100300.71119999999,200
2026-04-27T10:04:00,1994,11,MOM short,-100,379.59,11.387699999999999,138248.3235,100
2026-04-28T09:35:00,2417,16,MOM buyback,100,376.86,11.3058,100551.0177,200
2026-04-28T09:52:00,2451,17,MOM short,-100,375.34,11.2602,138073.7575,100
2026-04-28T14:12:00,2791,21,MOM buyback,100,370.99,11.1297,100963.62780000002,200
2026-04-29T10:03:00,2954,22,MOM short,-100,365.07,10.9521,137459.67570000002,100
2026-04-30T14:59:00,3847,29,MOM force buyback,100,353.9,10.616999999999999,102059.05870000002,200
2026-05-06T10:37:00,3984,30,REV-T sell,-100,365.79,10.9737,138627.08500000002,100
2026-05-06T13:27:00,4144,31,REV-T buyback(REBOUND99),100,363.0,10.889999999999999,102316.19500000002,200
2026-05-07T09:37:00,4345,32,MOM short,-100,375.89,11.276699999999998,139893.91830000002,100
2026-05-07T14:59:00,4809,35,MOM force buyback,100,389.2,11.675999999999998,100962.24230000001,200
2026-05-08T09:47:00,4846,36,MOM short,-100,385.9,11.576999999999998,139540.66530000002,100
2026-05-08T14:59:00,5290,39,MOM force buyback,100,397.23,11.916899999999998,99805.74840000003,200
2026-05-11T09:40:00,5313,40,MOM short,-100,401.07,12.0321,139900.71630000003,100
2026-05-11T09:44:00,5321,41,MOM buyback,100,398.0,11.94,100088.77630000003,200
2026-05-11T09:46:00,5325,42,MOM short,-100,399.99,11.999699999999999,140075.77660000004,100
2026-05-11T10:21:00,5395,44,MOM buyback,100,397.18,11.915399999999998,100345.86120000004,200
2026-05-12T09:33:00,5780,45,REV-T sell,-100,413.76,12.412799999999999,141709.44840000005,100
2026-05-12T11:28:00,6010,46,REV-T buyback(NORMAL),100,409.0,12.27,100797.17840000006,200
2026-05-12T13:14:00,6042,47,MOM short,-100,414.98,12.449399999999999,142282.72900000005,100
2026-05-12T14:17:00,6168,48,MOM buyback,100,408.93,12.2679,101377.46110000004,200
2026-05-13T09:33:00,6261,49,REV-T sell,-100,402.0,12.059999999999999,141565.40110000005,100
2026-05-13T09:35:00,6265,50,REV-T buyback(NORMAL),100,400.2,12.005999999999998,101533.39510000005,200
2026-05-14T09:47:00,6770,51,MOM long,100,411.7,12.350999999999999,60351.04410000005,300
2026-05-14T10:11:00,6818,52,MOM stop-loss,-100,405.28,12.158399999999999,100866.88570000004,200
2026-05-14T14:12:00,7120,53,MOM short,-100,411.88,12.356399999999999,142042.52930000005,100
2026-05-14T14:54:00,7204,55,MOM buyback,100,406.03,12.1809,101427.34840000005,200
2026-05-15T10:05:00,7287,56,MOM short,-100,371.52,11.145599999999998,138568.20280000003,100
2026-05-15T14:59:00,7695,59,MOM force buyback,100,374.45,11.2335,101111.96930000003,200
2026-05-18T09:36:00,7710,60,REV-T sell,-100,380.01,11.4003,139101.56900000002,100
2026-05-21T14:48:00,9597,61,REV-T buyback(REBOUND99),100,377.02,11.310599999999999,101388.25840000002,200
2026-05-22T09:39:00,9640,62,REV-T sell,-100,383.59,11.5077,139735.75070000003,100
2026-05-22T10:11:00,9704,63,REV-T buyback(NORMAL),100,380.0,11.399999999999999,101724.35070000004,200
2026-05-25T09:39:00,10121,64,MOM short,-100,381.37,11.441099999999999,139849.90960000004,100
2026-05-25T14:59:00,10581,67,MOM force buyback,100,386.03,11.5809,101235.32870000004,200
2026-05-26T10:01:00,10646,68,MOM short,-100,367.49,11.0247,137973.30400000003,100
2026-05-26T10:24:00,10692,70,MOM buyback,100,362.0,10.86,101762.44400000003,200
2026-05-27T09:35:00,11075,71,REV-T sell,-100,364.5,10.934999999999999,138201.50900000002,100
2026-05-27T13:55:00,11415,72,REV-T buyback(NORMAL),100,361.0,10.829999999999998,102090.67900000002,200
2026-05-28T13:01:00,11788,73,REV-T sell,-100,362.62,10.878599999999999,138341.8004,100
2026-05-28T13:13:00,11812,74,REV-T buyback(NORMAL),100,360.31,10.809299999999999,102299.99110000001,200
2026-05-28T13:49:00,11884,75,REV-T sell,-100,369.97,11.099099999999998,139285.89200000002,100
2026-05-29T10:13:00,12113,77,REV-T buyback(NORMAL),100,367.01,11.010299999999999,102573.88170000003,200
2026-05-29T10:16:00,12119,78,MOM short,-100,368.6,11.058,139422.82370000004,100
2026-06-01T14:59:00,12986,85,MOM force buyback,100,371.58,11.1474,102253.67630000004,200
2026-06-02T09:33:00,12995,86,MOM short,-100,373.24,11.197199999999999,139566.47910000003,100
2026-06-04T14:59:00,14429,97,MOM force buyback,100,455.89,13.676699999999999,93963.80240000002,200
2026-06-05T09:43:00,14458,98,REV-T sell,-100,473.84,14.2152,141333.5872,100
2026-06-05T10:42:00,14576,99,REV-T buyback(NORMAL),100,469.05,14.071499999999999,94414.51570000002,200
2026-06-08T09:34:00,14921,100,REV-T sell,-100,408.24,12.2472,135226.2685,100
2026-07-09T10:47:00,25649,102,REV-T buyback(NORMAL),100,403.67,12.1101,94847.15840000001,200
2026-07-09T13:15:00,25765,103,REV-T sell,-100,417.7,12.530999999999999,136604.6274,100
2026-07-13T09:45:00,26487,107,REV-T buyback(NORMAL),100,406.58,12.197399999999998,95934.43,200
2026-07-13T13:08:00,26713,108,MOM short,-100,389.63,11.688899999999999,134885.74109999998,100
2026-07-13T13:31:00,26759,109,MOM buyback,100,384.72,11.541599999999999,96402.19949999999,200
2026-07-14T09:32:00,26942,110,REV-T sell,-100,380.33,11.409899999999999,134423.7896,100
2026-07-14T11:01:00,27120,111,REV-T buyback(REBOUND99),100,377.0,11.309999999999999,96712.47959999999,200
2026-07-14T13:07:00,27192,112,MOM short,-100,392.05,11.7615,135905.7181,100
2026-07-14T14:59:00,27416,115,MOM force buyback,100,400.18,12.005399999999998,95875.7127,200
2026-07-16T09:46:00,27932,116,MOM short,-100,405.0,12.149999999999999,136363.5627,100
2026-07-16T11:29:00,28138,117,MOM buyback,100,400.57,12.0171,96294.54560000001,200
2026-07-16T13:08:00,28156,118,MOM short,-100,405.47,12.1641,136829.38150000002,100
2026-07-16T14:54:00,28368,120,MOM buyback,100,402.49,12.074699999999998,96568.30680000002,200
2026-07-17T09:41:00,28403,121,MOM short,-100,371.33,11.139899999999999,133690.1669,100
2026-07-20T09:35:00,28872,126,MOM buyback,100,366.79,11.003699999999998,97000.16320000001,200
2026-07-20T10:00:00,28922,127,MOM short,-100,366.36,10.990799999999998,133625.1724,100
2026-07-20T14:41:00,29304,128,MOM buyback,100,363.5,10.905,97264.26740000001,200
2026-07-21T09:40:00,29363,129,MOM short,-100,366.89,11.006699999999999,133942.2607,100
2026-07-21T14:59:00,29821,135,MOM force buyback,100,406.38,12.1914,93292.0693,200
2026-07-22T09:33:00,29830,136,MOM short,-100,390.0,11.7,132280.36930000002,100
2026-07-22T09:55:00,29874,138,MOM buyback,100,384.0,11.52,93868.84930000003,200
