time,event,order,label,shares,price,fee,cash,position
2026-04-21T09:49:00,40,1,MOM short,-100,369.0,36.9,136863.1,100
2026-04-21T14:59:00,480,4,MOM force buyback,100,381.58,38.158,98666.94200000001,200
2026-04-22T09:37:00,497,5,REV-T sell,-100,391.0,39.1,137727.842,100
2026-04-23T10:44:00,1112,6,REV-T buyback(NORMAL),100,386.65,38.665,99024.177,200
2026-04-24T09:37:00,1459,7,MOM short,-100,379.13,37.913000000000004,136899.264,100
2026-04-24T10:15:00,1535,8,MOM buyback,100,373.9,37.39,99471.874,200
2026-04-27T09:36:00,1938,9,REV-T sell,-100,384.31,38.431,137864.443,100
2026-04-27T09:52:00,1970,10,REV-T buyback(NORMAL),100,377.39,37.739000000000004,100087.704,200
2026-04-27T10:04:00,1994,11,MOM short,-100,379.59,37.959,138008.745,100
2026-04-28T09:35:00,2417,16,MOM buyback,100,376.86,37.686,100285.059,200
2026-04-28T09:52:00,2451,17,MOM short,-100,375.34,37.534,137781.525,100
2026-04-28T14:12:00,2791,21,MOM buyback,100,370.99,37.099000000000004,100645.42599999999,200
2026-04-29T10:03:00,2954,22,MOM short,-100,365.07,36.507,137115.919,100
2026-04-30T14:59:00,3847,29,MOM force buyback,100,353.9,35.39,101690.529,200
2026-05-06T10:37:00,3984,30,REV-T sell,-100,365.79,36.579,138232.95,100
2026-05-06T13:27:00,4144,31,REV-T buyback(REBOUND99),100,363.0,36.300000000000004,101896.65000000001,200
2026-05-07T09:37:00,4345,32,MOM short,-100,375.89,37.589,139448.06100000002,100
2026-05-07T14:59:00,4809,35,MOM force buyback,100,389.2,38.92,100489.14100000002,200
2026-05-08T09:47:00,4846,36,MOM short,-100,385.9,38.59,139040.55100000004,100
2026-05-08T14:59:00,5290,39,MOM force buyback,100,397.23,39.723,99277.82800000004,200
2026-05-11T09:40:00,5313,40,MOM short,-100,401.07,40.107,139344.72100000002,100
2026-05-11T09:44:00,5321,41,MOM buyback,100,398.0,39.800000000000004,99504.92100000002,200
2026-05-11T09:46:00,5325,42,MOM short,-100,399.99,39.999,139463.92200000002,100
2026-05-11T10:21:00,5395,44,MOM buyback,100,397.18,39.718,99706.20400000003,200
2026-05-12T09:33:00,5780,45,REV-T sell,-100,413.76,41.376,141040.82800000004,100
2026-05-12T11:28:00,6010,46,REV-T buyback(NORMAL),100,409.0,40.9,100099.92800000004,200
2026-05-12T13:14:00,6042,47,MOM short,-100,414.98,41.498,141556.43000000005,100
2026-05-12T14:17:00,6168,48,MOM buyback,100,408.93,40.893,100622.53700000005,200
2026-05-13T09:33:00,6261,49,REV-T sell,-100,402.0,40.2,140782.33700000006,100
2026-05-13T09:35:00,6265,50,REV-T buyback(NORMAL),100,400.2,40.02,100722.31700000007,200
2026-05-14T09:47:00,6770,51,MOM long,100,411.7,41.17,59511.14700000007,300
2026-05-14T10:11:00,6818,52,MOM stop-loss,-100,405.28,40.528,99998.61900000006,200
2026-05-14T14:12:00,7120,53,MOM short,-100,411.88,41.188,141145.43100000007,100
2026-05-14T14:54:00,7204,55,MOM buyback,100,406.03,40.603,100501.82800000007,200
2026-05-15T10:05:00,7287,56,MOM short,-100,371.52,37.152,137616.67600000006,100
2026-05-15T14:59:00,7695,59,MOM force buyback,100,374.45,37.445,100134.23100000006,200
2026-05-18T09:36:00,7710,60,REV-T sell,-100,380.01,38.001,138097.23000000007,100
2026-05-21T14:48:00,9597,61,REV-T buyback(REBOUND99),100,377.02,37.702,100357.52800000008,200
2026-05-22T09:39:00,9640,62,REV-T sell,-100,383.59,38.359,138678.16900000008,100
2026-05-22T10:11:00,9704,63,REV-T buyback(NORMAL),100,380.0,38.0,100640.16900000008,200
2026-05-25T09:39:00,10121,64,MOM short,-100,381.37,38.137,138739.03200000006,100
2026-05-25T14:59:00,10581,67,MOM force buyback,100,386.03,38.603,100097.42900000006,200
