time,equity,cash,position,price,unfinished_abs,occupied
2026-04-21T09:31:00,176400.0,100000.0,200,382.0,0,0
2026-04-21T09:32:00,175598.0,100000.0,200,377.99,0,0
2026-04-21T09:33:00,175536.0,100000.0,200,377.68,0,0
2026-04-21T09:34:00,174554.0,100000.0,200,372.77,0,0
2026-04-21T09:35:00,174864.0,100000.0,200,374.32,0,0
2026-04-21T09:36:00,172991.305,62591.305,300,368.0,100,37390.0
2026-04-21T09:37:00,172847.9055,99371.9055,200,367.38,0,0
2026-04-21T09:38:00,172375.9055,99371.9055,200,365.02,0,0
2026-04-21T09:39:00,172071.9055,99371.9055,200,363.5,0,0
2026-04-21T09:40:00,172437.9055,99371.9055,200,365.33,0,0
2026-04-21T09:41:00,171420.639,62820.638999999996,300,362.0,100,36533.0
2026-04-21T09:42:00,171588.639,62820.638999999996,300,362.56,100,36533.0
2026-04-21T09:43:00,172011.63900000002,62820.638999999996,300,363.97,100,36533.0
2026-04-21T09:44:00,171990.639,62820.638999999996,300,363.9,100,36533.0
2026-04-21T09:45:00,172452.639,62820.638999999996,300,365.44,100,36533.0
2026-04-21T09:46:00,172890.639,62820.638999999996,300,366.9,100,36533.0
2026-04-21T09:47:00,173823.639,62820.638999999996,300,370.01,100,36533.0
2026-04-21T09:48:00,174114.639,62820.638999999996,300,370.98,100,36533.0
2026-04-21T09:49:00,173520.639,62820.638999999996,300,369.0,100,36533.0
2026-04-21T09:50:00,173856.639,62820.638999999996,300,370.12,100,36533.0
2026-04-21T09:51:00,172803.639,62820.638999999996,300,366.61,100,36533.0
2026-04-21T09:52:00,174111.63900000002,62820.638999999996,300,370.97,100,36533.0
2026-04-21T09:53:00,174426.639,62820.638999999996,300,372.02,100,36533.0
2026-04-21T09:54:00,174540.639,62820.638999999996,300,372.4,100,36533.0
2026-04-21T09:55:00,174576.639,62820.638999999996,300,372.52,100,36533.0
2026-04-21T09:56:00,174087.639,62820.638999999996,300,370.89,100,36533.0
2026-04-21T09:57:00,174657.639,62820.638999999996,300,372.79,100,36533.0
2026-04-21T09:58:00,174423.639,62820.638999999996,300,372.01,100,36533.0
2026-04-21T09:59:00,174675.639,62820.638999999996,300,372.85,100,36533.0
2026-04-21T10:00:00,174432.639,62820.638999999996,300,372.04,100,36533.0
2026-04-21T10:01:00,174864.639,62820.638999999996,300,373.48,100,36533.0
2026-04-21T10:02:00,175911.63900000002,62820.638999999996,300,376.97,100,36533.0
2026-04-21T10:03:00,175263.639,62820.638999999996,300,374.81,100,36533.0
2026-04-21T10:04:00,175020.639,62820.638999999996,300,374.0,100,36533.0
2026-04-21T10:05:00,175164.639,62820.638999999996,300,374.48,100,36533.0
2026-04-21T10:06:00,174732.639,62820.638999999996,300,373.04,100,36533.0
2026-04-21T10:07:00,175326.639,62820.638999999996,300,375.02,100,36533.0
2026-04-21T10:08:00,175311.63900000002,62820.638999999996,300,374.97,100,36533.0
2026-04-21T10:09:00,175170.639,62820.638999999996,300,374.5,100,36533.0
2026-04-21T10:10:00,175020.639,62820.638999999996,300,374.0,100,36533.0
2026-04-21T10:11:00,174720.639,62820.638999999996,300,373.0,100,36533.0
2026-04-21T10:12:00,174720.639,62820.638999999996,300,373.0,100,36533.0
2026-04-21T10:13:00,174900.639,62820.638999999996,300,373.6,100,36533.0
2026-04-21T10:14:00,174765.639,62820.638999999996,300,373.15,100,36533.0
2026-04-21T10:15:00,174840.639,62820.638999999996,300,373.4,100,36533.0
2026-04-21T10:16:00,174435.639,62820.638999999996,300,372.05,100,36533.0
2026-04-21T10:17:00,174495.639,62820.638999999996,300,372.25,100,36533.0
2026-04-21T10:18:00,174456.639,62820.638999999996,300,372.12,100,36533.0
2026-04-21T10:19:00,174906.639,62820.638999999996,300,373.62,100,36533.0
2026-04-21T10:20:00,174600.639,62820.638999999996,300,372.6,100,36533.0
2026-04-21T10:21:00,174423.639,62820.638999999996,300,372.01,100,36533.0
2026-04-21T10:22:00,174261.63900000002,62820.638999999996,300,371.47,100,36533.0
2026-04-21T10:23:00,174149.0755,99929.0755,200,371.1,0,0
2026-04-21T10:24:00,174185.0755,99929.0755,200,371.28,0,0
2026-04-21T10:25:00,174029.0755,99929.0755,200,370.5,0,0
2026-04-21T10:26:00,173889.0755,99929.0755,200,369.8,0,0
2026-04-21T10:27:00,173751.0755,99929.0755,200,369.11,0,0
2026-04-21T10:28:00,173769.0755,99929.0755,200,369.2,0,0
2026-04-21T10:29:00,173907.0755,99929.0755,200,369.89,0,0
2026-04-21T10:30:00,173885.0755,99929.0755,200,369.78,0,0
2026-04-21T10:31:00,174145.0755,99929.0755,200,371.08,0,0
2026-04-21T10:32:00,174129.0755,99929.0755,200,371.0,0,0
2026-04-21T10:33:00,173961.0755,99929.0755,200,370.16,0,0
2026-04-21T10:34:00,174319.0755,99929.0755,200,371.95,0,0
2026-04-21T10:35:00,174173.0755,99929.0755,200,371.22,0,0
2026-04-21T10:36:00,174125.0755,99929.0755,200,370.98,0,0
2026-04-21T10:37:00,174391.0755,99929.0755,200,372.31,0,0
2026-04-21T10:38:00,174373.0755,99929.0755,200,372.22,0,0
2026-04-21T10:39:00,174209.0755,99929.0755,200,371.4,0,0
2026-04-21T10:40:00,174451.0755,99929.0755,200,372.61,0,0
2026-04-21T10:41:00,174699.0755,99929.0755,200,373.85,0,0
2026-04-21T10:42:00,174649.0755,99929.0755,200,373.6,0,0
2026-04-21T10:43:00,174799.0755,99929.0755,200,374.35,0,0
2026-04-21T10:44:00,174889.0755,99929.0755,200,374.8,0,0
2026-04-21T10:45:00,174885.0755,99929.0755,200,374.78,0,0
2026-04-21T10:46:00,174959.0755,99929.0755,200,375.15,0,0
2026-04-21T10:47:00,174673.0755,99929.0755,200,373.72,0,0
2026-04-21T10:48:00,174613.0755,99929.0755,200,373.42,0,0
2026-04-21T10:49:00,174829.0755,99929.0755,200,374.5,0,0
2026-04-21T10:50:00,174899.0755,99929.0755,200,374.85,0,0
2026-04-21T10:51:00,175255.0755,99929.0755,200,376.63,0,0
2026-04-21T10:52:00,175593.0755,99929.0755,200,378.32,0,0
2026-04-21T10:53:00,175309.0755,99929.0755,200,376.9,0,0
2026-04-21T10:54:00,175629.0755,99929.0755,200,378.5,0,0
2026-04-21T10:55:00,175827.0755,99929.0755,200,379.49,0,0
2026-04-21T10:56:00,175751.0755,99929.0755,200,379.11,0,0
2026-04-21T10:57:00,176229.0755,99929.0755,200,381.5,0,0
2026-04-21T10:58:00,175933.0755,99929.0755,200,380.02,0,0
2026-04-21T10:59:00,176249.0755,99929.0755,200,381.6,0,0
2026-04-21T11:00:00,175929.0755,99929.0755,200,380.0,0,0
2026-04-21T11:01:00,175869.0755,99929.0755,200,379.7,0,0
2026-04-21T11:02:00,175843.0755,99929.0755,200,379.57,0,0
2026-04-21T11:03:00,175589.0755,99929.0755,200,378.3,0,0
2026-04-21T11:04:00,176129.0755,99929.0755,200,381.0,0,0
2026-04-21T11:05:00,175971.0755,99929.0755,200,380.21,0,0
2026-04-21T11:06:00,176223.0755,99929.0755,200,381.47,0,0
2026-04-21T11:07:00,176131.0755,99929.0755,200,381.01,0,0
2026-04-21T11:08:00,176299.0755,99929.0755,200,381.85,0,0
2026-04-21T11:09:00,176037.0755,99929.0755,200,380.54,0,0
2026-04-21T11:10:00,175831.0755,99929.0755,200,379.51,0,0
2026-04-21T11:11:00,175553.0755,99929.0755,200,378.12,0,0
2026-04-21T11:12:00,175429.0755,99929.0755,200,377.5,0,0
2026-04-21T11:13:00,175541.0755,99929.0755,200,378.06,0,0
2026-04-21T11:14:00,175553.0755,99929.0755,200,378.12,0,0
2026-04-21T11:15:00,175729.0755,99929.0755,200,379.0,0,0
2026-04-21T11:16:00,175789.0755,99929.0755,200,379.3,0,0
2026-04-21T11:17:00,175819.0755,99929.0755,200,379.45,0,0
2026-04-21T11:18:00,176011.0755,99929.0755,200,380.41,0,0
2026-04-21T11:19:00,175789.0755,99929.0755,200,379.3,0,0
2026-04-21T11:20:00,175729.0755,99929.0755,200,379.0,0,0
2026-04-21T11:21:00,175637.0755,99929.0755,200,378.54,0,0
2026-04-21T11:22:00,175741.0755,99929.0755,200,379.06,0,0
2026-04-21T11:23:00,175775.0755,99929.0755,200,379.23,0,0
2026-04-21T11:24:00,175731.0755,99929.0755,200,379.01,0,0
2026-04-21T11:25:00,175981.0755,99929.0755,200,380.26,0,0
2026-04-21T11:26:00,175789.0755,99929.0755,200,379.3,0,0
