code,name,buy_date,buy_time,buy_price,sell_date,sell_time,sell_price,shares,exit_reason,screen_ma5,screen_ma20,screen_atr14,screen_pullback_atr,screen_atr_percent,buy_commission,sell_commission,stamp_tax,net_pnl,return_pct
002195.SZ,岩山科技,20250905,14:41:00,8.2121,20250908,09:31:00,8.3355,100,SELLBACK,8.566,6.9265,0.589286,0.794182,7.259001,5.0,5.0,0.83355,1.50645,0.18233257888430304
688318.SH,财富趋势,20250905,14:53:00,108.2184,20250908,09:33:00,109.4,100,SELLBACK,115.368571,105.796786,10.27398,0.72694,9.454168,5.0,5.0,10.94,97.22,0.8979536041910658
300548.SZ,长芯博创,20250905,14:54:00,123.3717,20250908,10:00:00,118.5107,100,FORCE_1000,133.886,112.9455,16.202857,0.628037,13.649109,5.0,5.0,11.85107,-507.95107,-4.115573436437839
002131.SZ,利欧股份,20250905,14:55:00,5.3436,20250908,09:31:00,5.4069,100,SELLBACK,5.587,4.8015,0.460714,0.525271,8.73392,5.0,5.0,0.54069,-4.21069,-0.7806826609314742
002131.SZ,利欧股份,20250908,09:34:00,5.5378,20250909,09:39:00,5.5966,100,SELLBACK,5.609,4.879,0.462143,0.419784,8.662472,5.0,5.0,0.55966,-4.67966,-0.8374780772397009
002195.SZ,岩山科技,20250908,09:34:00,8.3622,20250909,10:00:00,7.944,100,FORCE_1000,8.502,7.0475,0.652143,0.496824,7.925898,5.0,5.0,0.7944,-52.6144,-6.254535080002855
300620.SZ,光库科技,20250908,09:35:00,96.2981,20250909,10:00:00,89.5752,100,FORCE_1000,101.854,90.1775,11.498571,0.409094,11.491676,5.0,5.0,8.95752,-691.24752,-7.1744800364511585
301377.SZ,鼎泰高科,20250908,09:35:00,68.134,20250909,10:00:00,66.9965,100,FORCE_1000,71.148,65.718,6.649286,0.566677,9.546713,5.0,5.0,6.69965,-130.44965,-1.913200310923384
688498.SH,源杰科技,20250908,09:35:00,233.9169,20250909,10:00:00,227.7619,100,FORCE_1000,253.794483,205.804483,28.604433,0.57869,11.139097,5.847923,5.694047,22.77619,-649.81816,-2.7772929021523636
688629.SH,华丰科技,20250908,09:35:00,79.6798,20250909,10:00:00,78.5407,100,FORCE_1000,85.762,73.7865,8.263571,0.550851,10.117007,5.0,5.0,7.85407,-131.76407,-1.6526326417475024
300724.SZ,捷佳伟创,20250908,09:36:00,102.8914,20250909,10:00:00,97.3113,100,FORCE_1000,106.59,84.535,8.149286,0.577965,7.724441,5.0,5.0,9.73113,-577.74113,-5.612330218940095
300458.SZ,全志科技,20250908,10:24:00,39.1533,20250909,10:00:00,38.1976,100,FORCE_1000,40.083333,37.3025,2.824405,0.445522,7.301348,5.0,5.0,3.81976,-109.38976,-2.7903202026360026
000831.SZ,中国稀土,20250909,09:39:00,51.6468,20250910,09:32:00,52.2425,100,SELLBACK,55.215,49.4575,3.94,0.734518,7.494626,5.0,5.0,5.22425,44.34575,0.857804544962164
002436.SZ,兴森科技,20250909,10:25:00,19.0295,20250910,09:54:00,19.2311,100,SELLBACK,18.924,17.9265,1.373571,0.43973,7.290719,5.0,5.0,1.92311,8.23689,0.4317141434523966
600601.SH,方正科技,20250909,10:47:00,8.8744,20250910,10:00:00,8.7056,100,FORCE_1000,9.122,8.01,0.767857,0.367256,8.274323,5.0,5.0,0.87056,-27.75056,-3.1095154856348888
300458.SZ,全志科技,20250909,11:30:00,37.6397,20250910,10:00:00,37.5979,100,FORCE_1000,39.173333,37.59375,2.866667,0.432558,7.34415,5.0,5.0,3.75979,-17.93979,-0.47598654274244684
300604.SZ,长川科技,20250909,13:22:00,55.9279,20250910,09:32:00,56.605,100,SELLBACK,57.498,52.962,4.099286,0.431295,7.019325,5.0,5.0,5.6605,52.0495,0.9298223048738877
300548.SZ,长芯博创,20250910,09:34:00,115.6778,20250911,09:31:00,120.1096,100,SELLBACK,122.322,117.1075,15.397857,0.296924,13.375484,5.0,5.0,12.01096,421.16904,3.6393074092828166
688498.SH,源杰科技,20250910,09:34:00,224.5329,20250911,09:31:00,239.6401,100,SELLBACK,244.871724,210.362414,30.364532,0.369396,13.711367,5.613323,5.991002,23.96401,1475.151665,6.568226612927039
688709.SH,成都华微,20250910,09:34:00,46.8244,20250911,10:00:00,47.0275,100,FORCE_1000,50.931,43.831,5.332857,0.918832,11.436292,5.0,5.0,4.70275,5.60725,0.11962286450599902
002131.SZ,利欧股份,20250910,09:35:00,5.3777,20250911,09:31:00,5.8862,100,SELLBACK,5.451,5.022,0.439286,0.468943,8.157581,5.0,5.0,0.58862,40.26138,7.417760745803932
601869.SH,长飞光纤,20250910,09:40:00,86.078,20250911,09:31:00,88.572,100,SELLBACK,87.623,72.3184,8.523429,0.424477,9.640252,5.0,5.0,8.8572,230.5428,2.676746238157161
000831.SZ,中国稀土,20250910,10:15:00,52.7852,20250911,09:31:00,53.5706,100,SELLBACK,53.259,49.989,3.925,0.465732,7.584395,5.0,5.0,5.35706,63.18294,1.195849358003755
688629.SH,华丰科技,20250910,10:17:00,76.8284,20250911,09:31:00,77.6534,100,SELLBACK,80.564,75.8915,8.086429,0.336861,10.419313,5.0,5.0,7.76534,64.73466,0.8420396366209495
300724.SZ,捷佳伟创,20250910,10:22:00,93.1249,20250911,09:55:00,94.8575,100,SELLBACK,101.732,87.533,8.83,0.886976,9.39062,5.0,5.0,9.48575,153.77425,1.6503827747601552
688235.SH,百济神州,20250911,09:35:00,280.3401,20250912,09:31:00,312.5406,100,SELLBACK,317.218,274.724,22.358571,1.436496,7.0534,7.008503,7.813515,31.25406,3173.973922,11.319039362700124
688331.SH,荣昌生物,20250911,09:35:00,94.017,20250912,09:31:00,112.8306,100,SELLBACK,96.152,86.654,7.766429,0.405849,7.529257,5.0,5.0,11.28306,1860.07694,19.77395834883647
688411.SH,海博思创,20250911,09:35:00,163.992,20250912,09:31:00,175.137,100,SELLBACK,169.808,126.362,15.037857,0.556462,9.123806,5.0,5.0,17.5137,1086.9863,6.6262682727594155
600021.SH,上海电力,20250911,09:36:00,19.4997,20250912,09:31:00,22.0369,100,SELLBACK,20.784,15.7275,1.622857,0.889789,7.947391,5.0,5.0,2.20369,241.51631,12.353965022481162
300972.SZ,万辰集团,20250911,09:40:00,170.7881,20250912,09:31:00,173.003,100,SELLBACK,186.030791,174.038291,13.057143,0.787921,7.399375,5.0,5.0,17.3003,194.1897,1.1366884787409834
300724.SZ,捷佳伟创,20250911,13:24:00,97.7889,20250912,10:00:00,97.6112,100,FORCE_1000,98.174,88.8655,8.809286,0.606633,9.406605,5.0,5.0,9.76112,-37.53112,-0.3836012056554193
601212.SH,白银有色,20250912,09:40:00,3.7119,20250915,09:31:00,3.7943,100,SELLBACK,4.124,3.7345,0.307857,1.052436,8.059088,5.0,5.0,0.37943,-2.13943,-0.5687099603923549
300207.SZ,欣旺达,20250912,09:44:00,27.864,20250915,09:31:00,30.1248,100,SELLBACK,28.698054,24.590054,1.963571,0.447144,7.035355,5.0,5.0,3.01248,213.06752,7.632998495378662
688411.SH,海博思创,20250912,09:44:00,171.6258,20250915,09:31:00,195.4165,100,SELLBACK,173.968,130.422,16.182143,0.336667,9.193877,5.0,5.0,19.54165,2349.52835,13.685844772530551
