date,total_asset,cash,market_value,positions_count,benchmark
2020-01-02,10000000.0,10000000.0,0.0,0,5366.137
2020-01-03,10000000.0,10000000.0,0.0,0,5380.637
2020-01-06,10000000.0,10000000.0,0.0,0,5434.85
2020-01-07,10000000.0,10000000.0,0.0,0,5499.839
2020-01-08,10000000.0,10000000.0,0.0,0,5423.796
2020-01-09,10000000.0,10000000.0,0.0,0,5497.542
2020-01-10,10000000.0,10000000.0,0.0,0,5480.227
2020-01-13,10000000.0,10000000.0,0.0,0,5559.627
2020-01-14,10000000.0,10000000.0,0.0,0,5542.331
2020-01-15,10000000.0,10000000.0,0.0,0,5530.026
2020-01-16,10000000.0,10000000.0,0.0,0,5527.667
2020-01-17,10000000.0,10000000.0,0.0,0,5510.045
2020-01-20,10000000.0,10000000.0,0.0,0,5587.535
2020-01-21,10000000.0,10000000.0,0.0,0,5523.941
2020-01-22,10000000.0,10000000.0,0.0,0,5575.512
2020-01-23,10000000.0,10000000.0,0.0,0,5377.741
2020-02-03,10000000.0,10000000.0,0.0,0,4910.901
2020-02-04,10000000.0,10000000.0,0.0,0,4996.474
2020-02-05,10000000.0,10000000.0,0.0,0,5123.961
2020-02-06,10000000.0,10000000.0,0.0,0,5282.892
2020-02-07,10000000.0,10000000.0,0.0,0,5327.036
2020-02-10,10000000.0,10000000.0,0.0,0,5388.434
2020-02-11,10000000.0,10000000.0,0.0,0,5361.276
2020-02-12,10000000.0,10000000.0,0.0,0,5459.946
2020-02-13,10000000.0,10000000.0,0.0,0,5412.841
2020-02-14,10000000.0,10000000.0,0.0,0,5420.802
2020-02-17,10000000.0,10000000.0,0.0,0,5594.436
2020-02-18,10000000.0,10000000.0,0.0,0,5660.814
2020-02-19,10000000.0,10000000.0,0.0,0,5603.262
2020-02-20,10000000.0,10000000.0,0.0,0,5706.712
2020-02-21,10000000.0,10000000.0,0.0,0,5784.032
2020-02-24,10000000.0,10000000.0,0.0,0,5865.466
2020-02-25,10000000.0,10000000.0,0.0,0,5897.721
2020-02-26,10000000.0,10000000.0,0.0,0,5743.392
2020-02-27,10000000.0,10000000.0,0.0,0,5753.727
2020-02-28,10000000.0,10000000.0,0.0,0,5451.289
2020-03-02,10000000.0,10000000.0,0.0,0,5656.419
2020-03-03,10000000.0,10000000.0,0.0,0,5710.023
2020-03-04,10000000.0,10000000.0,0.0,0,5716.511
2020-03-05,10000000.0,10000000.0,0.0,0,5801.119
2020-03-06,10000000.0,10000000.0,0.0,0,5763.86
2020-03-09,10000000.0,10000000.0,0.0,0,5525.8167
2020-03-10,10000000.0,10000000.0,0.0,0,5675.1113
2020-03-11,10000000.0,10000000.0,0.0,0,5589.5311
2020-03-12,10000000.0,10000000.0,0.0,0,5493.8838
2020-03-13,10000000.0,10000000.0,0.0,0,5457.2006
2020-03-16,10000000.0,10000000.0,0.0,0,5200.1142
2020-03-17,10000000.0,10000000.0,0.0,0,5212.0619
2020-03-18,10000000.0,10000000.0,0.0,0,5119.4716
2020-03-19,10000000.0,10000000.0,0.0,0,5157.8235
2020-03-20,10000000.0,10000000.0,0.0,0,5219.2809
2020-03-23,10000000.0,10000000.0,0.0,0,4998.9095
2020-03-24,10000000.0,10000000.0,0.0,0,5096.0408
2020-03-25,10000000.0,10000000.0,0.0,0,5217.4237
2020-03-26,10000000.0,10000000.0,0.0,0,5166.1091
2020-03-27,10000000.0,10000000.0,0.0,0,5137.3371
2020-03-30,10000000.0,10000000.0,0.0,0,5027.4856
