code,date,direction,shares,price,commission,stamp_tax,pnl
600519.SH,2020-04-20,buy,1300,1228.527,399.27,0.0,0.0
000858.SZ,2020-04-20,buy,9600,129.439,310.65,0.0,0.0
600809.SH,2020-04-20,buy,12100,98.288,297.32,0.0,0.0
000568.SZ,2020-04-20,buy,16700,78.128,326.18,0.0,0.0
601318.SH,2020-04-20,buy,23400,73.573,430.4,0.0,0.0
600036.SH,2020-04-20,buy,57500,32.933,473.41,0.0,0.0
600030.SH,2020-04-20,buy,44100,23.513,259.24,0.0,0.0
601328.SH,2020-04-20,buy,2200,5.175,2.85,0.0,0.0
600519.SH,2020-04-21,sell,1300,1198.8,389.61,1558.44,-40593.54
000858.SZ,2020-04-21,sell,9600,126.344,303.22,1212.9,-31235.61
600809.SH,2020-04-22,sell,12100,99.5,300.99,1203.95,13162.8
000568.SZ,2020-04-22,sell,16700,77.203,322.32,1289.29,-17064.62
601318.SH,2020-04-23,sell,23400,72.088,421.71,1686.86,-36873.01
000001.SZ,2020-04-23,buy,104200,13.243,344.99,0.0,0.0
002142.SZ,2020-04-23,buy,48700,23.423,285.18,0.0,0.0
000333.SZ,2020-04-23,buy,27800,52.042,361.69,0.0,0.0
600690.SH,2020-04-23,buy,83500,15.115,315.53,0.0,0.0
000651.SZ,2020-04-23,buy,21000,54.925,288.36,0.0,0.0
600036.SH,2020-04-24,sell,57500,32.477,466.86,1867.46,-28520.39
600030.SH,2020-04-24,sell,44100,22.677,250.02,1000.07,-38126.07
601328.SH,2020-04-27,sell,2200,5.145,2.83,11.32,-80.85
600690.SH,2020-04-27,sell,83500,14.885,310.73,1242.91,-20758.63
000651.SZ,2020-04-28,sell,21000,54.935,288.41,1153.64,-1229.1
601166.SH,2020-04-28,buy,135400,16.106,545.19,0.0,0.0
600016.SH,2020-04-28,buy,379000,5.756,545.36,0.0,0.0
600000.SH,2020-04-28,buy,140100,10.34,362.17,0.0,0.0
300750.SZ,2020-04-28,buy,100,138.438,3.46,0.0,0.0
601398.SH,2020-04-29,buy,100,5.155,0.13,0.0,0.0
000001.SZ,2020-07-10,sell,104200,14.845,386.72,1546.86,164985.44
601166.SH,2020-07-10,sell,135400,17.582,595.16,2380.66,196916.55
601398.SH,2020-07-10,sell,100,5.215,0.13,0.52,5.31
002142.SZ,2020-07-13,sell,48700,29.79,362.7,1450.78,308248.71
600016.SH,2020-07-13,sell,379000,5.844,553.73,2214.93,30734.93
600519.SH,2020-07-13,buy,1300,1783.772,579.73,0.0,0.0
000858.SZ,2020-07-13,buy,8300,218.418,453.22,0.0,0.0
600809.SH,2020-07-13,buy,11300,164.124,463.65,0.0,0.0
000568.SZ,2020-07-13,buy,12600,125.035,393.86,0.0,0.0
601318.SH,2020-07-13,buy,200,82.442,4.12,0.0,0.0
600000.SH,2020-07-14,sell,140100,11.369,398.19,1592.74,142072.5
600036.SH,2020-07-14,buy,100,36.547,0.91,0.0,0.0
000333.SZ,2020-07-16,sell,27800,61.079,424.5,1697.99,249102.5
300750.SZ,2020-07-16,sell,100,196.573,4.91,19.66,5788.92
600519.SH,2020-07-16,sell,1300,1612.386,524.03,2096.1,-225421.91
600030.SH,2020-07-16,buy,36800,29.349,270.01,0.0,0.0
600837.SH,2020-07-16,buy,75700,14.615,276.58,0.0,0.0
002594.SZ,2020-07-16,buy,12200,85.135,259.66,0.0,0.0
600809.SH,2020-07-20,sell,11300,152.647,431.23,1724.91,-131843.53
000651.SZ,2020-07-20,buy,32600,58.989,480.76,0.0,0.0
600036.SH,2020-07-23,sell,100,35.564,0.89,3.56,-102.66
601012.SH,2020-07-23,buy,26800,52.763,353.51,0.0,0.0
601318.SH,2020-07-27,sell,200,76.354,3.82,15.27,-1236.85
600837.SH,2020-07-27,sell,75700,13.716,259.58,1038.32,-69301.48
300760.SZ,2020-07-27,buy,1600,334.334,133.73,0.0,0.0
000538.SZ,2020-07-27,buy,5000,106.456,133.07,0.0,0.0
000568.SZ,2020-08-07,sell,12600,110.889,349.3,1397.2,-179984.97
300760.SZ,2020-08-07,sell,1600,327.043,130.82,523.27,-12320.28
600036.SH,2020-08-07,buy,14200,36.647,130.1,0.0,0.0
002142.SZ,2020-08-07,buy,16300,31.922,130.08,0.0,0.0
002594.SZ,2020-08-10,sell,12200,81.898,249.79,999.16,-40740.71
600837.SH,2020-08-10,buy,89800,15.075,338.44,0.0,0.0
600030.SH,2020-08-11,sell,36800,31.279,287.76,1151.06,69562.0
000001.SZ,2020-08-11,buy,71800,14.144,253.89,0.0,0.0
000538.SZ,2020-08-12,sell,5000,103.167,128.96,515.83,-17092.89
600690.SH,2020-08-12,buy,52800,21.632,285.54,0.0,0.0
601012.SH,2020-08-19,sell,26800,53.486,358.36,1433.44,17604.7
600025.SH,2020-08-19,buy,132000,4.144,136.76,0.0,0.0
000651.SZ,2020-08-20,sell,32600,54.076,440.72,1762.87,-162369.35
000725.SZ,2020-08-20,buy,267700,5.185,347.02,0.0,0.0
600690.SH,2020-09-03,sell,52800,21.279,280.88,1123.52,-20038.04
000568.SZ,2020-09-03,buy,10100,150.661,380.42,0.0,0.0
600837.SH,2020-09-07,sell,89800,14.316,321.39,1285.55,-69800.16
600025.SH,2020-09-07,sell,132000,4.046,133.52,534.07,-13628.66
000568.SZ,2020-09-07,sell,10100,151.848,383.42,1533.66,10076.57
600036.SH,2020-09-08,sell,14200,37.552,133.31,533.24,12195.8
000858.SZ,2020-09-09,sell,8300,216.783,449.82,1799.3,-15821.28
000001.SZ,2020-09-09,sell,71800,15.195,272.75,1090.99,74073.66
600900.SH,2020-09-09,buy,73900,20.01,369.68,0.0,0.0
000625.SZ,2020-09-09,buy,64600,13.023,210.32,0.0,0.0
600809.SH,2020-09-09,buy,3900,188.268,183.56,0.0,0.0
600887.SH,2020-09-09,buy,20200,39.209,198.01,0.0,0.0
601012.SH,2020-09-09,buy,9600,62.913,150.99,0.0,0.0
601088.SH,2020-09-09,buy,99800,16.276,406.09,0.0,0.0
002142.SZ,2020-09-10,sell,16300,33.007,134.5,538.01,17014.12
000725.SZ,2020-09-10,sell,267700,5.085,340.31,1361.23,-28543.82
600900.SH,2020-09-10,sell,73900,20.05,370.42,1481.69,1099.45
000625.SZ,2020-09-10,sell,64600,13.596,219.58,878.33,35942.44
600887.SH,2020-09-11,sell,20200,38.801,195.95,783.78,-9221.53
300274.SZ,2020-09-11,buy,28000,24.444,171.11,0.0,0.0
600519.SH,2020-09-11,buy,700,1734.733,303.58,0.0,0.0
000002.SZ,2020-09-11,buy,48700,28.028,341.24,0.0,0.0
002594.SZ,2020-09-11,buy,7300,91.291,166.61,0.0,0.0
601166.SH,2020-09-11,buy,110700,16.146,446.84,0.0,0.0
300274.SZ,2020-09-14,sell,28000,24.495,171.47,685.87,572.34
