code,date,direction,shares,price,commission,stamp_tax,pnl
002265.SZ,2020-07-20,buy,231200,8.659,500.47,0.0,0.0
600483.SH,2020-07-20,buy,243300,8.228,500.48,0.0,0.0
300718.SZ,2020-07-20,buy,101800,19.65,500.08,0.0,0.0
603568.SH,2020-07-20,buy,82300,24.324,500.47,0.0,0.0
600871.SH,2020-07-22,buy,1032800,1.892,488.49,0.0,0.0
002265.SZ,2020-08-17,sell,231200,9.481,547.97,2191.89,187274.16
600483.SH,2020-08-17,sell,243300,8.921,542.62,2170.5,165857.28
300718.SZ,2020-08-17,sell,101800,17.892,455.35,1821.41,-181194.34
603568.SH,2020-08-17,sell,82300,24.366,501.32,2005.29,893.2
600578.SH,2020-08-17,buy,11400,3.203,9.13,0.0,0.0
000429.SZ,2020-08-17,buy,5200,7.007,9.11,0.0,0.0
600292.SH,2020-08-17,buy,6000,6.046,9.07,0.0,0.0
300100.SZ,2020-08-17,buy,6000,6.046,9.07,0.0,0.0
600871.SH,2020-08-19,sell,1032800,1.928,497.83,1991.31,34877.57
603728.SH,2020-08-19,buy,110300,18.518,510.65,0.0,0.0
600578.SH,2020-09-09,sell,11400,3.157,9.0,35.99,-573.49
000429.SZ,2020-09-09,sell,5200,6.893,8.96,35.84,-637.09
600292.SH,2020-09-09,sell,6000,5.934,8.9,35.6,-716.39
300100.SZ,2020-09-09,sell,6000,13.087,19.63,78.52,42147.01
603728.SH,2020-09-09,sell,110300,19.63,541.31,2165.23,119930.52
603786.SH,2020-09-15,buy,28400,73.053,518.68,0.0,0.0
300620.SZ,2020-09-15,buy,40900,50.651,517.9,0.0,0.0
002850.SZ,2020-09-15,buy,29100,71.141,517.55,0.0,0.0
688278.SH,2020-09-18,buy,40000,51.952,519.52,0.0,0.0
688188.SH,2020-09-22,buy,8900,227.527,506.25,0.0,0.0
603786.SH,2020-09-24,sell,28400,69.94,496.57,1986.3,-90891.79
300620.SZ,2020-09-24,sell,40900,46.683,477.34,1909.35,-164650.48
002850.SZ,2020-09-24,sell,29100,70.729,514.55,2058.22,-14558.19
688278.SH,2020-09-24,sell,40000,51.319,513.19,2052.75,-27896.73
688188.SH,2020-09-24,sell,8900,231.628,515.37,2061.49,33920.61
688166.SH,2020-09-29,buy,36500,55.375,505.3,0.0,0.0
600350.SH,2020-09-29,buy,352400,5.736,505.32,0.0,0.0
000559.SZ,2020-09-29,buy,341100,5.926,505.33,0.0,0.0
600329.SH,2020-09-29,buy,121100,16.687,505.19,0.0,0.0
002738.SZ,2020-09-29,buy,110800,17.968,497.71,0.0,0.0
688166.SH,2020-10-30,sell,36500,58.841,536.93,2147.7,123816.34
600350.SH,2020-10-30,sell,352400,6.034,531.59,2126.37,102438.29
000559.SZ,2020-10-30,sell,341100,5.854,499.21,1996.85,-26980.22
600329.SH,2020-10-30,sell,121100,15.984,483.92,1935.66,-87512.91
002738.SZ,2020-10-30,sell,110800,18.232,505.02,2020.08,26703.94
600350.SH,2020-11-02,buy,334400,6.126,512.14,0.0,0.0
000785.SZ,2020-11-02,buy,222200,9.219,512.13,0.0,0.0
603179.SH,2020-11-02,buy,63400,32.312,512.15,0.0,0.0
603979.SH,2020-11-02,buy,173400,11.812,512.04,0.0,0.0
600157.SH,2020-11-11,buy,1479500,1.351,499.83,0.0,0.0
600350.SH,2020-11-30,sell,334400,7.183,600.48,2401.93,350354.72
000785.SZ,2020-11-30,sell,222200,8.312,461.71,1846.86,-203961.74
603179.SH,2020-11-30,sell,63400,30.869,489.28,1957.1,-93943.99
603979.SH,2020-11-30,sell,173400,11.878,514.92,2059.66,8923.57
300570.SZ,2020-11-30,buy,1800,20.06,9.03,0.0,0.0
603786.SH,2020-11-30,buy,500,73.343,9.17,0.0,0.0
600350.SH,2020-11-30,buy,5200,7.197,9.36,0.0,0.0
601399.SH,2020-11-30,buy,9100,4.104,9.34,0.0,0.0
600157.SH,2020-12-09,sell,1479500,1.419,524.7,2098.79,96843.3
603728.SH,2020-12-16,buy,131400,15.816,519.55,0.0,0.0
300570.SZ,2020-12-28,sell,1800,17.023,7.66,30.64,-5505.05
603786.SH,2020-12-28,sell,500,68.531,8.57,34.27,-2448.77
600350.SH,2020-12-28,sell,5200,6.044,7.86,31.43,-6036.13
601399.SH,2020-12-28,sell,9100,3.856,8.77,35.09,-2300.3
688520.SH,2020-12-28,buy,45400,45.445,515.81,0.0,0.0
600995.SH,2020-12-28,buy,247000,8.368,516.75,0.0,0.0
600021.SH,2020-12-28,buy,278300,7.427,516.76,0.0,0.0
000883.SZ,2020-12-28,buy,509900,4.054,516.79,0.0,0.0
603728.SH,2021-01-14,sell,131400,15.644,513.92,2055.67,-25099.43
603256.SH,2021-01-14,buy,2700,10.0,6.75,0.0,0.0
688520.SH,2021-01-26,sell,45400,46.294,525.43,2101.73,35883.84
600995.SH,2021-01-26,sell,247000,6.913,426.88,1707.53,-361588.57
600021.SH,2021-01-26,sell,278300,6.993,486.54,1946.15,-123331.78
000883.SZ,2021-01-26,sell,509900,3.576,455.9,1823.62,-245823.06
300857.SZ,2021-01-26,buy,70700,27.357,483.54,0.0,0.0
688578.SH,2021-01-26,buy,59200,32.683,483.7,0.0,0.0
688266.SH,2021-01-26,buy,27400,70.44,482.52,0.0,0.0
002517.SZ,2021-01-27,buy,453500,4.264,483.46,0.0,0.0
603256.SH,2021-02-05,sell,2700,10.08,6.8,27.22,181.76
300857.SZ,2021-02-05,sell,70700,23.786,420.42,1681.68,-254581.7
688578.SH,2021-02-05,sell,59200,31.259,462.63,1850.52,-86610.39
688266.SH,2021-02-05,sell,27400,64.585,442.41,1769.64,-162639.6
002517.SZ,2021-02-05,sell,453500,4.276,484.76,1939.04,2773.31
603256.SH,2021-02-08,buy,180200,10.16,457.71,0.0,0.0
600398.SH,2021-02-08,buy,260600,7.027,457.81,0.0,0.0
601567.SH,2021-02-08,buy,289900,6.316,457.77,0.0,0.0
000537.SZ,2021-02-25,buy,305800,6.036,461.45,0.0,0.0
688166.SH,2021-02-26,buy,38700,45.776,442.88,0.0,0.0
603256.SH,2021-03-08,sell,180200,10.4,468.5,1874.01,40804.58
600398.SH,2021-03-08,sell,260600,6.983,454.94,1819.77,-13743.72
601567.SH,2021-03-08,sell,289900,6.444,467.0,1867.99,34551.89
000537.SZ,2021-03-08,sell,305800,5.804,443.73,1774.92,-73115.32
688166.SH,2021-03-08,sell,38700,44.266,428.27,1713.08,-60579.9
688166.SH,2021-03-17,buy,40900,44.314,453.11,0.0,0.0
300857.SZ,2021-03-17,buy,63200,28.739,454.07,0.0,0.0
002850.SZ,2021-03-17,buy,27600,65.666,453.09,0.0,0.0
603688.SH,2021-03-17,buy,102000,17.798,453.84,0.0,0.0
000062.SZ,2021-03-17,buy,139100,12.913,449.05,0.0,0.0
688166.SH,2021-04-15,sell,40900,41.059,419.83,1679.31,-135243.77
300857.SZ,2021-04-15,sell,63200,25.484,402.65,1610.62,-207679.98
002850.SZ,2021-04-15,sell,27600,67.133,463.22,1852.87,38178.64
603688.SH,2021-04-15,sell,102000,17.313,441.47,1765.89,-51688.59
000062.SZ,2021-04-15,sell,139100,13.237,460.31,1841.23,42746.0
603699.SH,2021-04-15,buy,1300,13.423,4.36,0.0,0.0
300100.SZ,2021-04-15,buy,1800,9.86,4.44,0.0,0.0
002850.SZ,2021-04-15,buy,200,67.267,3.36,0.0,0.0
300857.SZ,2021-04-19,buy,63000,27.818,438.13,0.0,0.0
688617.SH,2021-04-20,buy,7500,231.832,434.68,0.0,0.0
603699.SH,2021-05-18,sell,1300,12.238,3.98,15.91,-1561.24
300100.SZ,2021-05-18,sell,1800,10.629,4.78,19.13,1361.2
002850.SZ,2021-05-18,sell,200,67.353,3.37,13.47,0.24
688676.SH,2021-05-18,buy,107000,17.007,454.94,0.0,0.0
688166.SH,2021-05-18,buy,40700,44.745,455.28,0.0,0.0
688578.SH,2021-05-18,buy,53800,29.83,401.21,0.0,0.0
300857.SZ,2021-05-20,sell,63000,24.955,393.04,1572.17,-182319.72
603179.SH,2021-05-20,buy,600,28.228,4.23,0.0,0.0
688617.SH,2021-05-21,sell,7500,326.293,611.8,2447.2,705404.35
688676.SH,2021-06-16,sell,107000,16.134,431.58,1726.32,-95583.88
688166.SH,2021-06-16,sell,40700,43.227,439.83,1759.33,-63980.54
688578.SH,2021-06-16,sell,53800,29.73,399.87,1599.49,-7355.69
300140.SZ,2021-06-16,buy,289600,6.306,456.58,0.0,0.0
300857.SZ,2021-06-16,buy,63900,28.559,456.22,0.0,0.0
600601.SH,2021-06-16,buy,572100,3.193,456.71,0.0,0.0
603179.SH,2021-06-18,sell,600,31.838,4.78,19.1,2142.08
300475.SZ,2021-06-18,buy,91900,20.0,459.5,0.0,0.0
603728.SH,2021-06-21,buy,103200,17.067,440.33,0.0,0.0
300140.SZ,2021-07-14,sell,289600,6.913,500.51,2002.03,173220.95
300857.SZ,2021-07-14,sell,63900,29.091,464.73,1858.91,31693.53
600601.SH,2021-07-14,sell,572100,2.867,410.07,1640.29,-188589.28
300140.SZ,2021-07-14,buy,4800,6.927,8.31,0.0,0.0
300857.SZ,2021-07-14,buy,1100,29.149,8.02,0.0,0.0
688017.SH,2021-07-14,buy,200,129.429,6.47,0.0,0.0
300475.SZ,2021-07-16,sell,91900,24.705,567.6,2270.41,429578.13
603298.SH,2021-07-16,buy,110900,17.377,481.79,0.0,0.0
603728.SH,2021-07-19,sell,103200,17.423,449.5,1798.01,34441.12
300140.SZ,2021-07-28,sell,4800,6.194,7.43,29.73,-3556.14
300857.SZ,2021-07-28,sell,1100,27.482,7.56,30.23,-1871.08
688017.SH,2021-07-28,sell,200,126.094,6.3,25.22,-698.63
603298.SH,2021-07-28,sell,110900,15.185,421.0,1683.99,-245259.9
600098.SH,2021-07-29,buy,289100,6.466,467.36,0.0,0.0
300570.SZ,2021-07-29,buy,89500,20.871,466.99,0.0,0.0
688568.SH,2021-07-29,buy,26500,70.55,467.4,0.0,0.0
002432.SZ,2021-08-03,buy,240000,7.708,462.46,0.0,0.0
688166.SH,2021-08-19,buy,52600,34.585,454.79,0.0,0.0
600098.SH,2021-08-26,sell,289100,6.933,501.09,2004.35,132388.63
300570.SZ,2021-08-26,sell,89500,17.013,380.67,1522.66,-347183.59
688568.SH,2021-08-26,sell,26500,77.732,514.98,2059.9,187740.44
000737.SZ,2021-08-26,buy,7300,8.178,14.93,0.0,0.0
603179.SH,2021-08-26,buy,1700,34.534,14.68,0.0,0.0
603129.SH,2021-08-26,buy,400,140.34,14.03,0.0,0.0
002432.SZ,2021-08-31,sell,240000,7.163,429.77,1719.08,-132917.65
688676.SH,2021-08-31,buy,89400,20.42,456.4,0.0,0.0
688166.SH,2021-09-16,sell,52600,32.887,432.47,1729.86,-91449.25
603179.SH,2021-09-27,sell,1700,28.102,11.94,47.77,-10995.19
603129.SH,2021-09-27,sell,400,126.204,12.62,50.48,-5717.71
688676.SH,2021-09-27,sell,89400,22.028,492.32,1969.3,141253.35
300620.SZ,2021-09-28,buy,29100,63.353,460.9,0.0,0.0
002984.SZ,2021-09-28,buy,63900,28.839,460.7,0.0,0.0
688578.SH,2021-09-28,buy,63600,28.989,460.92,0.0,0.0
000737.SZ,2021-09-29,sell,7300,7.842,14.31,57.25,-2524.51
300620.SZ,2021-09-29,sell,29100,59.99,436.43,1745.71,-100055.33
002984.SZ,2021-09-29,sell,63900,29.171,466.0,1864.01,18884.14
688578.SH,2021-09-29,sell,63600,28.162,447.77,1791.09,-54845.6
002265.SZ,2021-10-18,buy,221700,8.188,453.83,0.0,0.0
000737.SZ,2021-10-18,buy,222800,8.148,453.85,0.0,0.0
003031.SZ,2021-10-18,buy,28400,63.924,453.86,0.0,0.0
300953.SZ,2021-10-18,buy,19600,92.292,452.23,0.0,0.0
000415.SZ,2021-10-18,buy,651900,2.753,448.63,0.0,0.0
000737.SZ,2021-11-08,sell,222800,6.533,363.91,1455.65,-361570.27
002265.SZ,2021-11-15,sell,221700,8.511,471.75,1887.0,69316.87
003031.SZ,2021-11-15,sell,28400,83.516,592.97,2371.87,553463.3
300953.SZ,2021-11-15,sell,19600,150.849,739.16,2956.64,1144017.48
000415.SZ,2021-11-15,sell,651900,2.927,477.04,1908.16,111254.01
688313.SH,2021-11-15,buy,113800,12.683,360.82,0.0,0.0
300475.SZ,2021-11-15,buy,60700,23.764,360.61,0.0,0.0
300570.SZ,2021-11-15,buy,78700,18.328,360.61,0.0,0.0
601019.SH,2021-11-15,buy,254900,5.666,361.04,0.0,0.0
603728.SH,2021-11-15,buy,82100,17.588,360.98,0.0,0.0
688313.SH,2021-12-13,sell,113800,12.048,342.76,1371.06,-73946.09
300475.SZ,2021-12-13,sell,60700,23.606,358.23,1432.91,-11343.49
300570.SZ,2021-12-13,sell,78700,16.823,331.0,1323.98,-120110.28
601019.SH,2021-12-13,sell,254900,5.864,373.69,1494.77,48721.54
603728.SH,2021-12-13,sell,82100,23.836,489.24,1956.95,510561.41
300475.SZ,2021-12-13,buy,92700,23.654,548.17,0.0,0.0
002851.SZ,2021-12-13,buy,61900,35.385,547.59,0.0,0.0
603885.SH,2021-12-13,buy,137500,15.946,548.14,0.0,0.0
603565.SH,2021-12-13,buy,70500,31.081,547.8,0.0,0.0
603179.SH,2021-12-13,buy,49400,43.393,535.91,0.0,0.0
300475.SZ,2022-01-11,sell,92700,26.324,610.05,2440.2,244460.6
002851.SZ,2022-01-11,sell,61900,31.568,488.52,1954.08,-238711.81
603885.SH,2022-01-11,sell,137500,17.253,593.06,2372.25,176719.69
603565.SH,2022-01-11,sell,70500,33.247,585.97,2343.89,149749.87
603179.SH,2022-01-11,sell,49400,42.308,522.5,2090.0,-56246.08
600595.SH,2022-01-11,buy,4600,4.895,5.63,0.0,0.0
688318.SH,2022-01-11,buy,100,160.44,4.01,0.0,0.0
688578.SH,2022-01-11,buy,700,29.55,5.17,0.0,0.0
601098.SH,2022-01-11,buy,2200,10.06,5.53,0.0,0.0
000737.SZ,2022-01-12,buy,298100,7.528,560.99,0.0,0.0
600595.SH,2022-01-21,sell,4600,4.206,4.84,19.35,-3194.04
688318.SH,2022-01-21,sell,100,186.403,4.66,18.64,2573.01
688578.SH,2022-01-21,sell,700,27.792,4.86,19.45,-1254.46
601098.SH,2022-01-21,sell,2200,9.51,5.23,20.92,-1235.21
000737.SZ,2022-01-21,sell,298100,8.262,615.71,2462.82,215789.47
000737.SZ,2022-01-24,buy,274800,8.318,571.47,0.0,0.0
000737.SZ,2022-01-25,sell,274800,7.782,534.64,2138.55,-149993.47
600601.SH,2022-02-09,buy,947100,2.382,564.09,0.0,0.0
002608.SZ,2022-02-09,buy,353800,6.376,563.99,0.0,0.0
300718.SZ,2022-02-09,buy,139300,16.196,564.03,0.0,0.0
000737.SZ,2022-02-11,buy,264800,8.488,561.94,0.0,0.0
600601.SH,2022-02-14,sell,947100,2.577,610.27,2441.07,181671.04
002608.SZ,2022-02-14,sell,353800,6.254,553.14,2212.57,-46152.21
300718.SZ,2022-02-14,sell,139300,15.524,540.64,2162.56,-96273.79
000737.SZ,2022-02-14,sell,264800,8.152,539.65,2158.61,-91840.53
688019.SH,2022-02-15,buy,10000,223.623,559.06,0.0,0.0
600562.SH,2022-02-15,buy,142200,15.786,561.18,0.0,0.0
002461.SZ,2022-02-15,buy,259900,8.639,561.29,0.0,0.0
600032.SH,2022-02-15,buy,166200,13.503,561.07,0.0,0.0
688166.SH,2022-03-07,buy,73200,30.04,549.73,0.0,0.0
688019.SH,2022-03-08,sell,10000,244.675,611.69,2446.75,207458.36
600562.SH,2022-03-08,sell,142200,15.774,560.77,2243.09,-4447.7
002461.SZ,2022-03-08,sell,259900,7.752,503.7,2014.81,-232891.27
600032.SH,2022-03-08,sell,166200,13.167,547.08,2188.33,-58689.96
688166.SH,2022-03-08,sell,73200,28.172,515.54,2062.18,-139330.69
600601.SH,2022-03-22,buy,845000,2.603,549.8,0.0,0.0
688819.SH,2022-03-22,buy,67400,32.623,549.69,0.0,0.0
603129.SH,2022-03-22,buy,19300,113.914,549.63,0.0,0.0
600601.SH,2022-03-25,sell,845000,2.537,536.04,2144.15,-57723.49
688819.SH,2022-03-25,sell,67400,31.808,535.97,2143.87,-57572.42
603129.SH,2022-03-28,sell,19300,101.948,491.9,1967.6,-233400.4
002423.SZ,2022-03-28,buy,269700,7.898,532.52,0.0,0.0
688278.SH,2022-03-29,buy,76300,27.908,532.34,0.0,0.0
600350.SH,2022-03-29,buy,408300,5.215,532.34,0.0,0.0
688568.SH,2022-03-30,buy,33500,64.024,536.2,0.0,0.0
688318.SH,2022-03-30,buy,15900,130.03,516.87,0.0,0.0
002423.SZ,2022-04-11,sell,269700,8.002,539.53,2158.14,25378.1
688278.SH,2022-04-11,sell,76300,25.175,480.21,1920.84,-210935.05
600350.SH,2022-04-11,sell,408300,5.574,569.01,2276.04,143820.4
688568.SH,2022-04-11,sell,33500,60.639,507.85,2031.42,-115925.38
688318.SH,2022-04-11,sell,15900,120.03,477.12,1908.47,-161386.39
001696.SZ,2022-04-12,buy,334800,6.166,516.11,0.0,0.0
000921.SZ,2022-04-12,buy,173100,11.922,515.92,0.0,0.0
600595.SH,2022-04-12,buy,467700,4.414,516.15,0.0,0.0
002461.SZ,2022-04-12,buy,253000,8.158,516.0,0.0,0.0
601228.SH,2022-04-12,buy,583800,3.483,508.41,0.0,0.0
001696.SZ,2022-04-13,sell,334800,6.074,508.39,2033.55,-33423.89
000921.SZ,2022-04-13,sell,173100,11.628,503.22,2012.87,-53329.59
600595.SH,2022-04-13,sell,467700,4.456,520.96,2083.86,16631.68
