type,date,price,return_pct,hold_days
BUY,2025-07-04,37.88,,
SELL,2025-10-10,91.23,140.8,64
BUY,2025-11-28,87.08,,
SELL,2026-01-12,110.48,26.9,29
BUY,2026-01-27,126.60,,
SELL,2026-03-19,215.93,70.6,31
BUY,2026-03-31,309.49,,
SELL,2026-04-30,353.90,14.3,21
BUY,2026-06-03,444.99,,
SELL(F),2026-06-26,543.00,22.0,16
