type,date,price,reason,return_pct,hold_days
BUY,2025-10-16,85.66,RSI超卖+趋势支撑,,
SELL,2025-12-11,101.27,RSI超买(88)+盈利18%,18.2,40
BUY,2026-01-13,107.20,RSI超卖+趋势支撑,,
SELL,2026-01-21,114.17,移动止盈(-7% from high),6.5,6
BUY,2026-03-20,216.88,资金流反转+支撑,,
SELL,2026-04-03,352.50,RSI超买(83)+盈利63%,62.5,10
