date,open,close,high,low,volume,returns,log_returns,ma5,ma10,ma20,ma60,atr,volatility_20,volume_ma5,volume_ma20,volume_ratio,bb_mid,bb_std,bb_upper,bb_lower,rsi,ema12,ema26,macd,macd_signal,macd_hist,main_net,super_net,small_net,mid_net,large_net,main_net_ma5,main_net_cum
2025-06-25,38.082,38.262,38.832,37.842,86719.0,0.006576870461959317,0.006555337212120704,37.858,35.964,35.157294117647055,,1.3671428571428568,0.023639057594913727,116588.0,66341.0,1.3071705280294237,35.157294117647055,1.8791491347384421,38.91559238712394,31.39899584817017,71.83431952662724,36.21205891387201,35.00447335947787,1.207585554394143,0.833182220731093,0.3744033336630499,0.0,0.0,,,,0.0,0.0
2025-06-26,38.132,38.632,39.612,37.932,93209.0,0.009670168835920645,0.009623712010051085,38.218,36.45399999999999,35.35033333333334,,1.4028571428571424,0.022888447159313027,106060.6,67833.66666666667,1.3740816998442267,35.35033333333334,1.9985590397319062,39.34745141279715,31.353215253869525,72.73768613974802,36.584357542507085,35.273179036553586,1.3111785059534995,0.9287814777755743,0.3823970281779252,0.0,0.0,,,,0.0,0.0
2025-06-27,38.632,39.512,40.212,37.602,94395.0,0.02277904328018221,0.022523474667082922,38.458000000000006,37.08,35.56936842105263,,1.5278571428571428,0.022423535717473898,89349.6,69231.63157894737,1.3634663498051163,35.56936842105263,2.164228993083432,39.8978264072195,31.240910434885766,77.57510729613736,37.03476407442907,35.58716577458665,1.4475982998424186,1.0325448421889432,0.41505345765347545,0.0,0.0,,,,0.0,0.0
2025-06-30,39.892,40.452,40.832,39.352,81347.0,0.02379024093946147,0.02351166280160031,38.974000000000004,37.664,35.8135,,1.5800000000000003,0.022011493281763207,85993.4,69837.4,1.1648056771872952,35.8135,2.372629620440046,40.55875924088009,31.068240759119906,83.19755600814665,37.56049267836306,35.94752386535801,1.612968813005054,1.1486296363521653,0.4643391766528886,0.0,0.0,,,,0.0,0.0
2025-07-01,40.712,39.782,40.712,39.332,46601.0,-0.01656283990902807,-0.01670153735705509,39.327999999999996,38.219,36.152,,1.6321428571428578,0.022291987242926574,80454.2,69173.45,0.6736833279242253,36.152,2.4340457981246826,41.020091596249365,31.283908403750637,80.57199211045365,37.90226303553798,36.231559134590746,1.670703900947231,1.2530444892711785,0.4176594116760526,0.0,0.0,,,,0.0,0.0
2025-07-02,39.732,38.832,39.782,38.502,59298.0,-0.02388014680006023,-0.024169899698623314,39.44199999999999,38.65,36.3985,,1.6507142857142862,0.023092738869102673,74970.0,68903.1,0.860599885926758,36.3985,2.4438069417245405,41.286113883449076,31.510886116550918,73.30895795246803,38.04529949160906,36.42418438388032,1.621115107728734,1.3266586129626898,0.2944564947660442,0.0,0.0,,,,0.0,0.0
2025-07-03,38.932,39.122,39.402,38.472,38772.0,0.007468067573135562,0.007440319619922097,39.54,38.879,36.626,,1.6528571428571435,0.02289961725110575,64082.6,67894.45,0.5710628777462665,36.626,2.47639253754327,41.578785075086536,31.67321492491346,77.30232558139535,38.2109457236692,36.62402257766696,1.5869231460022348,1.3787115195705988,0.20821162643163604,0.0,0.0,,,,0.0,0.0
2025-07-04,39.002,37.882,39.202,37.762,79204.0,-0.031695721077654615,-0.03220890336961794,39.214,38.836,36.787,,1.6385714285714295,0.024435297647577906,61044.4,68603.85,1.1545124654082823,36.787,2.4464765211260557,41.67995304225211,31.89404695774789,65.38099717779866,38.16033868925855,36.71720609043238,1.4431325988261747,1.3915957354217139,0.05153686340446084,0.0,0.0,,,,0.0,0.0
2025-07-07,37.232,37.322,38.032,37.042,42129.0,-0.014782746423103177,-0.014893100123269774,38.588,38.78099999999999,36.9345,,1.6642857142857146,0.024657402634336276,53200.8,68633.65,0.6138242684164401,36.9345,2.3812709454804737,41.697041890960946,32.17195810903905,64.29232192414435,38.0313635062957,36.762005639289235,1.2693578670064625,1.3671481617386636,-0.09779029473220113,0.0,0.0,,,,0.0,0.0
2025-07-08,37.322,39.092,39.532,37.132,77216.0,0.04742511119446968,0.04633487736530935,38.45,38.889,37.1925,,1.7785714285714285,0.02608142253730862,59323.8,70570.05,1.0941752202244437,37.1925,2.317520169673201,41.827540339346406,32.5574596606536,68.59235150528887,38.19453835148097,36.934597814156696,1.259940537324276,1.3457066368557862,-0.08576609953151015,0.0,0.0,,,,0.0,0.0
