date,version,slip,failure,bars,orders,turnover,initial_equity,final_equity,account_gross,hold_gross,excess_gross,final_position,position_gap,short_unclosed,long_unclosed,mom_unclosed,state,cycles,strategy_reported_gross,max_drawdown
20260427,v51,0.01,,241,4,152591.0,175600.0,176719.0,1119.0,-100.0,1219.0,200,0,0,0,0,DONE,2,1218.9999999999998,0.019075764224887326
20260427,v39,0.0,,241,5,191817.0,175600.0,176867.0,1267.0,-100.0,1367.0,300,100,0,0,0,BT_DIPPING,2,1035.0000000000023,0.024090329066934757
20260427,v39,0.01,,241,5,191817.0,175600.0,176863.0,1263.0,-100.0,1363.0,300,100,0,0,0,BT_DIPPING,2,1035.0000000000023,0.024090861382255246
20260428,v51,0.0,,241,4,150124.0,174102.0,175762.0,1660.0,596.0000000000036,1064.0,200,0,0,0,0,DONE,2,1064.0000000000043,0.014043485132419709
20260428,v51,0.01,,241,4,150122.0,174102.0,175760.0,1658.0,596.0000000000036,1062.0,200,0,0,0,0,DONE,2,1061.9999999999948,0.014043643670764605
20260428,v39,0.0,,241,4,149630.0,174102.0,175728.0,1626.0,596.0000000000036,1030.0,200,0,0,0,0,IDLE,2,1030.0000000000011,0.014046180771185024
20260428,v39,0.01,,241,4,149630.0,174102.0,175724.0,1622.0,596.0000000000036,1026.0,200,0,0,0,0,IDLE,2,1030.0000000000011,0.014046497973194239
20260429,v51,0.0,,241,4,144941.0,173000.0,174869.0,1869.0,1103.9999999999964,765.0,200,0,0,0,0,DONE,2,764.9999999999977,0.009021480814932703
20260429,v51,0.01,,241,4,144941.0,173000.0,174865.0,1865.0,1103.9999999999964,761.0,200,0,0,0,0,DONE,2,761.0000000000014,0.009021480814932703
20260429,v39,0.0,,241,4,144941.0,173000.0,174869.0,1869.0,1103.9999999999964,765.0,200,0,0,0,0,IDLE,2,764.9999999999977,0.009021480814932703
20260429,v39,0.01,,241,4,144941.0,173000.0,174865.0,1865.0,1103.9999999999964,761.0,200,0,0,0,0,IDLE,2,764.9999999999977,0.009021480814932703
20260430,v51,0.0,,241,4,139842.0,171820.0,171000.0,-820.0,-1040.000000000009,220.0,200,0,0,0,0,IDLE,2,219.99999999999886,0.02811505295445338
20260430,v51,0.01,,241,4,139841.0,171820.0,170997.0,-823.0,-1040.000000000009,217.0,200,0,0,0,0,IDLE,2,217.0000000000016,0.028132415070316608
20260430,v39,0.0,,241,4,142356.0,171820.0,171686.0,-134.0,-1040.000000000009,906.0,200,0,0,0,0,BT_DIPPING,2,906.0000000000002,0.02483940042826549
20260430,v39,0.01,,241,4,142355.0,171820.0,171683.0,-137.0,-1040.000000000009,903.0,200,0,0,0,0,BT_DIPPING,2,906.0000000000002,0.024850975172174272
20260506,v51,0.0,,241,4,145359.0,172400.0,171731.0,-669.0,-189.99999999999773,-479.0,200,0,0,0,0,FORCED,2,-478.99999999999636,0.013702360398150648
20260506,v51,0.01,,241,4,145358.0,172400.0,171728.0,-672.0,-189.99999999999773,-482.0,200,0,0,0,0,FORCED,2,-481.99999999999363,0.013708233630943756
20260506,v39,0.0,,241,4,143184.0,172400.0,172112.0,-288.0,-189.99999999999773,-98.0,200,0,0,0,0,BT_DIPPING,2,-97.99999999999613,0.013702360398150648
20260506,v39,0.01,,241,4,143184.0,172400.0,172108.0,-292.0,-189.99999999999773,-102.0,200,0,0,0,0,BT_DIPPING,2,-97.99999999999613,0.013708233630943756
20260507,v51,0.0,,241,4,150825.0,176022.0,177917.0,1895.0,1817.999999999995,77.0,200,0,0,0,0,DONE,2,76.99999999999818,0.018991940061300894
20260507,v51,0.01,,241,4,150825.0,176022.0,177913.0,1891.0,1817.999999999995,73.0,200,0,0,0,0,DONE,2,73.00000000000182,0.01900896810080599
