code,sector,screen_date,entry_price,final_price,forward_return,max_dd_fwd,days_held,score,reasons,pct_ma60,vol_ratio,chg20d
000586,通信设备,2025-08-18,12.49,13.47,7.8,-46.4,200,66,多头排列|极早期(9%)|稳健(+6%),9.1,1.0,5.6
000012,玻璃玻纤,2025-08-25,4.87,4.80,-1.4,-29.7,200,66,多头排列|极早期(3%)|温和放量(1.4x),3.1,1.4,-1.6
002036,光学光电子,2025-08-18,11.52,7.25,-37.1,-43.7,200,65,多头排列|均线发散|极早期(8%),8.1,1.2,4.6
600237,元件,2025-08-25,7.93,13.21,66.6,-27.6,200,65,多头排列|均线发散|极早期(8%),8.0,1.1,3.1
002129,科技精选,2025-08-25,8.49,11.19,31.8,-30.5,200,65,多头排列|均线发散|极早期(7%),6.7,1.1,-0.4
002741,电子化学品,2025-08-25,20.74,39.11,88.6,-33.0,200,65,多头排列|均线发散|极早期(8%),7.9,1.1,4.5
600819,玻璃玻纤,2025-08-25,6.44,5.70,-11.5,-41.8,200,65,多头排列|均线发散|极早期(2%),2.1,1.2,-3.0
600487,通信设备,2025-08-25,19.36,110.81,472.4,-21.3,200,64,多头排列|均线发散,26.7,1.1,27.2
600183,元件,2025-08-25,47.21,178.50,278.1,-31.0,200,62,多头排列|均线发散,42.9,1.0,21.4
600775,通信设备,2025-08-25,12.57,9.35,-25.6,-52.1,200,60,多头排列,16.9,0.8,20.6
002414,国防军工,2025-08-25,12.76,13.17,3.2,-36.0,200,60,多头排列,22.2,0.8,15.2
002177,计算机设备,2025-08-25,9.33,5.69,-39.0,-42.6,200,59,均线发散,33.3,2.1,43.3
601636,玻璃玻纤,2025-08-25,6.27,8.93,42.4,-26.1,200,57,多头排列|均线发散|极早期(12%),11.5,0.8,-2.5
002484,元件,2025-08-25,27.13,109.00,301.7,-29.5,200,56,多头排列|均线发散,25.6,0.9,28.9
600586,玻璃玻纤,2025-08-25,5.08,4.31,-15.2,-43.5,200,53,多头排列|极早期(2%),1.7,1.1,-4.9
000070,通信设备,2025-08-25,11.56,22.29,92.8,-30.8,200,50,多头排列,31.9,0.9,39.0
002436,元件,2025-08-25,17.74,51.81,192.1,-26.8,200,50,多头排列,20.4,1.1,-2.8
002080,玻璃玻纤,2025-08-25,36.54,97.67,167.3,-26.4,200,47,多头排列|均线发散,59.5,1.1,28.8
000738,国防军工,2025-08-25,20.99,17.62,-16.1,-40.0,200,45,多头排列|极早期(5%),4.9,1.0,-1.3
002189,国防军工,2025-08-25,27.13,21.03,-22.5,-32.7,200,45,多头排列|极早期(8%),8.2,0.7,3.0
002017,通信设备,2025-08-25,31.82,14.70,-53.8,-53.9,200,44,多头排列|均线发散,62.3,0.8,24.9
601869,科技精选,2025-08-25,71.07,543.00,664.0,-39.6,200,42,多头排列|均线发散,49.0,0.9,61.0
603256,玻璃玻纤,2025-08-25,39.58,297.00,650.3,-37.3,200,40,多头排列|均线发散,99.6,1.1,78.9
002584,电子化学品,2025-08-25,9.16,9.62,5.0,-29.1,200,26,,-3.1,1.1,0.3
603516,计算机设备,2025-08-25,105.05,122.83,16.9,-57.7,200,24,多头排列|均线发散,108.4,0.9,132.0
