date,open,close,high,low,vol
2023-03-23,14.568,14.828,14.988,14.518,926053.0
2023-03-24,14.738,15.008,15.138,14.678,1065383.0
2023-03-27,15.078,15.158,15.528,14.878,1368183.0
2023-03-28,15.018,14.538,15.088,14.508,912397.0
2023-03-29,14.598,14.578,14.868,14.478,657583.0
2023-03-30,14.548,14.298,14.608,14.178,627322.0
2023-03-31,14.348,14.368,14.398,14.038,505809.0
2023-04-03,14.378,15.038,15.208,14.378,1074586.0
2023-04-04,15.058,14.858,15.178,14.718,835270.0
2023-04-06,14.998,15.888,16.028,14.668,2066644.0
2023-04-07,16.868,16.568,17.448,16.188,2608207.0
2023-04-10,16.498,15.788,16.758,15.678,1655587.0
2023-04-11,15.818,15.458,15.878,15.218,1164326.0
2023-04-12,15.448,15.728,15.848,15.288,1211237.0
2023-04-13,15.568,15.088,15.578,14.918,1219545.0
2023-04-14,15.008,15.148,15.168,14.778,754000.0
2023-04-17,15.258,14.718,15.298,14.468,1074874.0
2023-04-18,14.728,15.238,15.388,14.608,1102058.0
2023-04-19,15.258,15.218,15.478,15.018,1130050.0
2023-04-20,15.348,15.548,15.638,15.218,1251193.0
2023-04-21,15.668,14.558,15.758,14.448,1355032.0
2023-04-24,14.368,14.928,15.358,14.328,1082020.0
2023-04-25,14.818,13.908,14.848,13.708,1241171.0
2023-04-26,14.088,14.098,14.568,13.968,810600.0
2023-04-27,13.868,13.598,13.938,13.528,725919.0
2023-04-28,13.668,13.828,13.918,13.618,540576.0
2023-05-04,13.758,14.048,14.198,13.678,547774.0
2023-05-05,14.048,13.668,14.048,13.548,501802.0
2023-05-08,13.678,13.818,13.918,13.628,359773.0
2023-05-09,13.788,13.388,13.798,13.368,615292.0
2023-05-10,13.428,13.638,13.678,13.368,434982.0
2023-05-11,13.568,13.888,14.108,13.468,549441.0
2023-05-12,13.778,13.658,13.918,13.638,337228.0
2023-05-15,13.768,14.138,14.218,13.768,569718.0
2023-05-16,14.128,14.108,14.418,14.018,548837.0
2023-05-17,14.038,14.138,14.278,13.988,292316.0
