date,pnl,reason
20200402,0.0,无分钟数据
20200403,0.0,缩量(量比0.37)
20200407,0.0,无分钟数据
20200408,0.0,无分钟数据
20200409,0.0,无分钟数据
20200410,0.0,无分钟数据
20200413,0.0,缩量(量比0.39)
20200414,0.0,无分钟数据
20200415,0.0,无分钟数据
20200416,0.0,无分钟数据
20200417,0.0,无分钟数据
20200420,0.0,无分钟数据
20200421,0.0,无分钟数据
20200422,0.0,无分钟数据
20200423,0.0,无分钟数据
20200424,0.0,无分钟数据
20200427,0.0,无分钟数据
20200428,0.0,无分钟数据
20200429,0.0,无分钟数据
20200430,0.0,无分钟数据
20200506,0.0,无分钟数据
20200507,0.0,无分钟数据
20200508,0.0,无分钟数据
20200511,0.0,无分钟数据
20200512,0.0,无分钟数据
20200513,0.0,无分钟数据
20200514,0.0,无分钟数据
20200515,0.0,无分钟数据
20200518,0.0,无分钟数据
20200519,0.0,无分钟数据
20200520,0.0,无分钟数据
20200521,0.0,无分钟数据
20200522,0.0,无分钟数据
20200525,0.0,无分钟数据
20200526,0.0,无分钟数据
20200527,0.0,无分钟数据
20200528,0.0,无分钟数据
20200529,0.0,无分钟数据
20200601,0.0,无分钟数据
20200602,0.0,无分钟数据
20200603,0.0,无分钟数据
20200604,0.0,无分钟数据
20200605,0.0,无分钟数据
20200608,0.0,无分钟数据
20200609,0.0,无分钟数据
20200610,0.0,无分钟数据
20200611,0.0,无分钟数据
20200612,0.0,无分钟数据
20200615,0.0,无分钟数据
20200616,0.0,无分钟数据
20200617,0.0,无分钟数据
20200618,0.0,无分钟数据
20200619,0.0,无分钟数据
20200622,0.0,无分钟数据
20200623,0.0,无分钟数据
20200624,0.0,无分钟数据
20200629,0.0,无分钟数据
20200630,0.0,无分钟数据
20200701,0.0,无分钟数据
20200702,0.0,无分钟数据
20200703,0.0,无分钟数据
20200706,0.0,无分钟数据
20200707,0.0,无分钟数据
20200708,0.0,无分钟数据
20200709,0.0,强牛禁反T
20200710,0.0,无分钟数据
20200713,0.0,无分钟数据
20200714,0.0,无分钟数据
20200715,0.0,无分钟数据
20200716,0.0,无分钟数据
20200717,0.0,无分钟数据
20200720,0.0,无分钟数据
20200721,0.0,无分钟数据
20200722,0.0,无分钟数据
20200723,0.0,无分钟数据
20200724,0.0,无分钟数据
20200727,0.0,无分钟数据
20200728,0.0,缩量(量比0.34)
20200729,0.0,无分钟数据
20200730,0.0,无分钟数据
20200731,0.0,无分钟数据
20200803,0.0,无分钟数据
20200804,0.0,无分钟数据
20200805,0.0,无分钟数据
20200806,0.0,无分钟数据
20200807,0.0,无分钟数据
20200810,0.0,无分钟数据
20200811,0.0,无分钟数据
20200812,0.0,无分钟数据
20200813,0.0,无分钟数据
20200814,0.0,无分钟数据
20200817,0.0,无分钟数据
20200818,0.0,无分钟数据
20200819,0.0,无分钟数据
20200820,0.0,无分钟数据
20200821,0.0,无分钟数据
20200824,0.0,无分钟数据
20200825,0.0,无分钟数据
20200826,0.0,无分钟数据
20200827,0.0,无分钟数据
20200828,0.0,无分钟数据
20200831,0.0,无分钟数据
20200901,0.0,无分钟数据
20200902,0.0,无分钟数据
20200903,0.0,无分钟数据
20200904,0.0,无分钟数据
20200907,0.0,无分钟数据
20200908,0.0,无分钟数据
20200909,0.0,无分钟数据
20200910,0.0,无分钟数据
20200911,0.0,无分钟数据
20200914,0.0,无分钟数据
20200915,0.0,无分钟数据
20200916,0.0,无分钟数据
20200917,0.0,无分钟数据
20200918,0.0,无分钟数据
20200921,0.0,无分钟数据
20200922,0.0,无分钟数据
20200923,0.0,无分钟数据
20200924,0.0,无分钟数据
20200925,0.0,无分钟数据
20200928,0.0,无分钟数据
20200929,0.0,无分钟数据
20200930,0.0,无分钟数据
20201009,0.0,无分钟数据
20201012,0.0,无分钟数据
20201013,0.0,无分钟数据
20201014,0.0,无分钟数据
20201015,0.0,无分钟数据
20201016,0.0,无分钟数据
20201019,0.0,无分钟数据
20201020,0.0,无分钟数据
20201021,0.0,无分钟数据
20201022,0.0,无分钟数据
20201023,0.0,无分钟数据
20201026,0.0,无分钟数据
20201027,0.0,无分钟数据
20201028,0.0,无分钟数据
20201029,0.0,无分钟数据
20201030,0.0,无分钟数据
20201102,0.0,无分钟数据
20201103,0.0,无分钟数据
20201104,0.0,无分钟数据
20201105,0.0,无分钟数据
20201106,0.0,无分钟数据
20201109,0.0,无分钟数据
20201110,0.0,无分钟数据
20201111,0.0,无分钟数据
20201112,0.0,无分钟数据
20201113,0.0,无分钟数据
20201116,0.0,无分钟数据
20201117,0.0,无分钟数据
20201118,0.0,无分钟数据
20201119,0.0,无分钟数据
20201120,0.0,无分钟数据
20201123,0.0,无分钟数据
20201124,0.0,无分钟数据
20201125,0.0,无分钟数据
20201126,0.0,无分钟数据
20201127,0.0,无分钟数据
20201130,0.0,无分钟数据
20201201,0.0,无分钟数据
20201202,0.0,无分钟数据
20201203,0.0,无分钟数据
20201204,0.0,无分钟数据
20201207,0.0,无分钟数据
20201208,0.0,无分钟数据
20201209,0.0,无分钟数据
20201210,0.0,无分钟数据
20201211,0.0,无分钟数据
20201214,0.0,无分钟数据
20201215,0.0,无分钟数据
20201216,0.0,无分钟数据
20201217,0.0,无分钟数据
20201218,0.0,无分钟数据
20201221,0.0,无分钟数据
20201222,0.0,无分钟数据
20201223,0.0,无分钟数据
20201224,0.0,无分钟数据
20201225,0.0,无分钟数据
20201228,0.0,无分钟数据
20201229,0.0,无分钟数据
20201230,0.0,无分钟数据
20201231,0.0,无分钟数据
20210104,0.0,无分钟数据
