date,pnl,reason
20251031,0.0,未触发
20251103,0.0,未触发
20251104,0.0,未触发
20251105,105.44150000000081,正常
20251106,81.4369999999999,正常
20251107,0.0,未触发
20251110,0.0,未触发
20251111,0.0,未触发
20251112,0.0,未触发
20251113,0.0,未触发
20251114,-132.81275000000005,止损
20251117,37.97200000000066,正常
20251118,80.76075000000128,正常
20251119,84.5367499999993,正常
20251120,0.0,未触发
20251121,60.787499999998545,正常
20251124,0.0,未触发
20251125,-148.42225000000053,止损
20251126,97.32549999999901,正常
20251127,113.92775000000074,正常
20251128,66.88299999999981,正常
20251201,0.0,未触发
20251202,0.0,未触发
20251203,0.0,未触发
20251204,0.0,未触发
20251205,0.0,未触发
20251208,64.9439999999995,正常
20251209,0.0,未触发
20251210,138.14650000000074,正常
20251211,0.0,强牛禁反T
20251212,0.0,强牛禁反T
20251215,0.0,未触发
20251216,0.0,未触发
20251217,139.3189999999995,正常
20251218,98.8377500000006,正常
20251219,108.92100000000028,正常
20251222,-57.01000000000022,尾盘
20251223,171.85974999999962,正常
20251224,0.0,RSI超买(75)
20251225,0.0,未触发
20251226,0.0,未触发
20251229,0.0,未触发
20251230,0.0,未触发
20251231,0.0,未触发
20260105,0.0,未触发
20260106,0.0,未触发
20260107,-226.86475000000064,止损
20260108,0.0,未触发
20260109,0.0,未触发
20260112,0.0,未触发
20260113,72.28974999999991,正常
20260114,0.0,未触发
20260115,105.6820000000007,正常
20260116,75.89025000000038,正常
20260119,0.0,未触发
20260120,214.74174999999923,正常
20260121,66.57899999999972,正常
20260122,0.0,未触发
20260123,-223.3824999999997,止损
20260126,-378.1139999999996,紧急
20260127,232.8824999999997,正常
20260128,0.0,未触发
20260129,0.0,强牛禁反T
20260130,0.0,强牛禁反T
20260202,0.0,强牛禁反T
20260203,0.0,强牛禁反T
20260204,0.0,强牛禁反T
20260205,326.73349999999846,正常
20260206,0.0,RSI超买(76)
20260209,0.0,RSI超买(80)
20260210,0.0,RSI超买(84)
20260211,0.0,RSI超买(85)
20260212,0.0,强牛禁反T
20260213,0.0,RSI超买(76)
20260224,0.0,RSI超买(80)
20260225,0.0,RSI超买(76)
20260226,0.0,RSI超买(77)
20260227,-598.8164999999972,止损
20260302,0.0,RSI超买(76)
20260303,285.7517500000031,正常
20260304,1315.7739999999976,正常
20260305,0.0,未触发
20260306,0.0,未触发
20260309,0.0,未触发
20260310,-57.936249999998836,尾盘
20260311,355.6759999999922,正常
20260312,310.8012499999968,正常
20260313,566.9537500000006,正常
20260316,0.0,未触发
20260317,0.0,未触发
20260318,0.0,未触发
20260319,442.42175000000134,正常
20260320,272.80625000000146,正常
20260323,510.77899999999863,正常
20260324,297.0852500000001,正常
20260325,312.3250000000007,正常
20260326,289.32300000000396,正常
20260327,544.0057500000003,正常
20260330,0.0,强牛禁反T
20260331,0.0,强牛禁反T
20260401,0.0,RSI超买(76)
20260402,0.0,RSI超买(79)
20260403,0.0,RSI超买(82)
20260407,0.0,RSI超买(82)
20260408,0.0,RSI超买(83)
20260409,0.0,强牛禁反T
20260410,0.0,RSI超买(80)
20260413,0.0,未触发
20260414,0.0,未触发
20260415,0.0,未触发
20260416,-751.5777499999967,止损
20260417,0.0,未触发
20260420,356.8422500000015,正常
20260421,0.0,未触发
20260422,0.0,RSI超买(76)
20260423,0.0,未触发
20260424,0.0,未触发
20260427,0.0,未触发
20260428,0.0,未触发
20260429,0.0,未触发
20260430,1773.7609999999986,正常
20260506,481.6912500000035,正常
20260507,315.35199999999895,正常
20260508,342.97525000000314,正常
20260511,0.0,未触发
20260512,339.765999999996,正常
20260513,554.2684999999983,正常
20260514,0.0,未触发
20260515,0.0,未触发
20260518,-766.2435000000041,止损
20260519,0.0,未触发
20260520,0.0,未触发
20260521,0.0,未触发
20260522,0.0,未触发
20260525,0.0,未触发
20260526,0.0,未触发
20260527,333.50424999999814,正常
20260528,-367.1924999999974,尾盘
20260529,560.6717500000013,正常
20260601,0.0,未触发
20260602,555.1182499999995,正常
20260603,-778.0955000000031,止损
20260604,416.7734999999957,正常
20260605,744.8492500000066,正常
20260608,1683.7497499999954,正常
20260609,1414.9444999999978,正常
20260610,0.0,未触发
20260611,0.0,未触发
20260612,0.0,未触发
20260615,0.0,未触发
20260616,936.7622499999998,正常
20260617,0.0,未触发
20260618,588.6029999999955,正常
20260622,0.0,未触发
20260623,0.0,RSI超买(75)
20260624,0.0,RSI超买(76)
20260625,0.0,未触发
20260626,0.0,未触发
20260629,0.0,未触发
20260630,0.0,未触发
20260701,0.0,未触发
20260702,0.0,未触发
20260703,-1164.8007499999949,止损
20260706,0.0,未触发
20260707,645.4939999999988,正常
20260708,0.0,未触发
20260709,-1167.6362500000032,止损
20260710,-1341.389750000002,止损
20260713,0.0,未触发
20260714,608.4552499999991,正常
20260715,0.0,未触发
20260716,1437.4717500000042,正常
20260717,2192.46875,正常
20260720,794.3447500000038,正常
20260721,661.9902500000026,正常
20260722,1062.7904999999955,正常
20260723,1053.7770000000019,正常
20260724,0.0,未触发
20260727,521.8689999999988,正常
20260728,0.0,未触发
20260729,0.0,未触发
20260730,547.391249999997,正常
20260731,0.0,未触发
20260803,0.0,未触发
20260804,472.79449999999997,正常
20260805,-885.375749999992,紧急
