code,sector,period,entry_price,final_price,forward_return,max_dd,trend_score,bottom_score,v3_selected,v4_selected,reasons
002236,计算机设备,2025-2026,16.05,15.84,-1.3,-24.4,48,17,False,True,完美多头|强蓄力(17)
002134,元件,2025-2026,21.46,28.43,32.5,-30.8,28,16,False,True,T1(元件)|强蓄力(16)
000063,通信设备,2025-2026,34.55,37.81,9.4,-40.7,30,17,False,True,T1(通信设备)|强蓄力(17)
003004,计算机设备,2025-2026,18.90,64.19,239.6,-15.4,21,19,False,True,强蓄力(19)
000636,元件,2025-2026,14.09,64.30,356.4,-30.0,56,19,True,True,T1(元件)|强蓄力(19)
002199,元件,2025-2026,11.16,13.83,23.9,-38.3,67,0,True,True,完美多头|T1(元件)
600586,玻璃玻纤,2025-2026,5.06,4.70,-7.1,-36.9,26,15,False,True,T2(玻璃玻纤)|强蓄力(15)
603256,玻璃玻纤,2025-2026,24.61,211.00,757.3,-37.3,59,0,True,True,完美多头|T2(玻璃玻纤)
002463,元件,2025-2026,52.48,126.91,141.8,-24.1,37,10,False,True,T1(元件)|蓄力(10)
002396,通信设备,2025-2026,23.23,17.87,-23.1,-34.6,62,12,True,True,完美多头|T1(通信设备)|强蓄力(12)
002180,计算机设备,2025-2026,23.72,14.42,-39.2,-45.7,23,17,False,True,强蓄力(17)
603078,电子化学品,2025-2026,18.50,46.30,150.3,-32.3,52,19,True,True,T2(电子化学品)|强蓄力(19)
600776,通信设备,2025-2026,11.23,15.35,36.7,-45.9,63,16,True,True,完美多头|T1(通信设备)|强蓄力(16)
002484,元件,2025-2026,25.76,82.80,221.4,-29.5,70,2,True,True,完美多头|T1(元件)
002177,计算机设备,2025-2026,6.61,5.98,-9.5,-40.2,3,17,False,True,强蓄力(17)
002217,光学光电子,2025-2026,2.49,2.38,-4.4,-45.8,31,16,False,True,强蓄力(16)
002415,计算机设备,2025-2026,28.10,29.98,6.7,-15.7,56,16,True,True,完美多头|强蓄力(16)
002376,计算机设备,2025-2026,7.64,6.04,-21.0,-27.8,49,16,False,True,强蓄力(16)
002080,玻璃玻纤,2025-2026,26.86,63.88,137.9,-26.4,33,10,False,True,T2(玻璃玻纤)|蓄力(10)
002436,元件,2025-2026,16.00,36.75,129.7,-26.8,55,3,True,True,T1(元件)
600183,元件,2025-2026,39.00,149.73,283.9,-31.0,51,6,True,False,T1(元件)
002579,元件,2025-2026,12.73,15.29,20.1,-26.5,48,17,False,True,T1(元件)|强蓄力(17)
000050,光学光电子,2025-2026,9.74,7.66,-21.4,-30.1,66,17,True,True,完美多头|强蓄力(17)
002036,光学光电子,2025-2026,10.81,7.96,-26.4,-40.3,23,17,False,True,强蓄力(17)
600879,国防军工,2025-2026,11.27,20.12,78.5,-39.2,60,5,True,True,完美多头
002222,光学光电子,2025-2026,40.15,90.72,126.0,-25.6,59,8,True,True,完美多头|蓄力(8)
000045,光学光电子,2025-2026,11.99,10.60,-11.6,-34.6,55,16,True,True,强蓄力(16)
002049,半导体,2025-2026,73.20,71.42,-2.4,-30.0,63,16,True,True,完美多头|T1(半导体)|强蓄力(16)
000100,光学光电子,2025-2026,4.38,4.51,3.0,-19.2,31,19,False,True,强蓄力(19)
000725,光学光电子,2025-2026,3.93,5.77,46.8,-16.1,23,17,False,True,强蓄力(17)
002025,国防军工,2025-2026,50.44,66.06,31.0,-29.5,23,15,False,True,强蓄力(15)
002613,玻璃玻纤,2025-2026,3.98,4.81,20.9,-25.1,44,17,False,True,T2(玻璃玻纤)|强蓄力(17)
200012,玻璃玻纤,2025-2026,1.88,1.37,-27.1,-33.9,51,17,True,True,完美多头|T2(玻璃玻纤)|强蓄力(17)
900918,玻璃玻纤,2025-2026,0.34,0.32,-6.5,-23.3,26,17,False,True,T2(玻璃玻纤)|强蓄力(17)
600237,元件,2025-2026,7.88,10.28,30.5,-27.6,55,17,True,True,完美多头|T1(元件)|强蓄力(17)
600563,元件,2025-2026,107.26,147.95,37.9,-24.3,30,17,False,True,T1(元件)|强蓄力(17)
002935,国防军工,2025-2026,16.42,20.13,22.6,-34.1,70,16,True,True,完美多头|强蓄力(16)
600775,通信设备,2025-2026,12.09,10.02,-17.1,-48.7,77,9,True,True,完美多头|T1(通信设备)|蓄力(9)
600176,玻璃玻纤,2025-2026,11.93,41.07,244.3,-20.7,26,17,False,True,T2(玻璃玻纤)|强蓄力(17)
000066,计算机设备,2025-2026,15.91,15.69,-1.4,-38.1,23,17,False,True,强蓄力(17)
603516,计算机设备,2025-2026,92.90,113.85,22.6,-57.7,36,2,False,False,完美多头
000823,元件,2025-2026,13.62,19.10,40.2,-24.1,70,9,True,True,完美多头|T1(元件)|蓄力(9)
000738,国防军工,2025-2026,21.05,18.10,-14.0,-38.8,58,17,True,True,完美多头|强蓄力(17)
002273,光学光电子,2025-2026,21.45,33.18,54.7,-23.8,66,14,True,True,完美多头|强蓄力(14)
600345,通信设备,2025-2026,27.20,57.01,109.6,-28.6,77,10,True,True,完美多头|T1(通信设备)|蓄力(10)
000020,光学光电子,2025-2026,14.33,11.69,-18.4,-49.9,60,16,True,True,完美多头|强蓄力(16)
000977,计算机设备,2025-2026,56.21,57.84,2.9,-26.7,23,17,False,True,强蓄力(17)
002475,,2025-2026,38.01,64.58,69.9,-33.9,56,19,True,True,强蓄力(19)
002194,通信设备,2025-2026,13.50,11.30,-16.3,-38.1,20,17,False,True,T1(通信设备)|强蓄力(17)
002289,光学光电子,2025-2026,26.57,38.09,43.4,-39.7,33,5,False,False,完美多头
603061,半导体,2025-2026,66.34,322.06,385.5,-25.8,70,14,True,True,完美多头|T1(半导体)|强蓄力(14)
600703,,2025-2026,12.95,15.26,17.8,-39.2,57,16,True,True,完美多头|强蓄力(16)
002643,电子化学品,2025-2026,12.47,15.46,23.9,-24.9,54,15,True,True,T2(电子化学品)|强蓄力(15)
601636,玻璃玻纤,2025-2026,6.12,6.63,8.3,-26.1,26,15,False,True,T2(玻璃玻纤)|强蓄力(15)
000727,光学光电子,2025-2026,2.44,2.57,5.3,-19.2,48,17,False,True,完美多头|强蓄力(17)
002017,通信设备,2025-2026,30.18,15.54,-48.5,-55.2,48,0,False,False,完美多头|T1(通信设备)
000012,玻璃玻纤,2025-2026,4.78,4.08,-14.6,-29.7,26,17,False,True,T2(玻璃玻纤)|强蓄力(17)
002313,通信设备,2025-2026,13.58,8.21,-39.5,-39.7,50,2,True,False,完美多头|T1(通信设备)
601869,,2025-2026,55.68,442.51,694.7,-39.6,47,2,False,False,完美多头
003009,国防军工,2025-2026,47.23,55.11,16.7,-49.0,56,16,True,True,完美多头|强蓄力(16)
000586,通信设备,2025-2026,12.71,14.59,14.8,-41.9,73,16,True,True,完美多头|T1(通信设备)|强蓄力(16)
002197,计算机设备,2025-2026,7.20,6.04,-16.1,-45.6,41,17,False,True,强蓄力(17)
002281,通信设备,2025-2026,52.00,205.40,295.0,-26.7,58,15,True,True,T1(通信设备)|强蓄力(15)
600105,通信设备,2025-2026,8.79,52.31,495.2,-20.1,30,15,False,True,T1(通信设备)|强蓄力(15)
002189,国防军工,2025-2026,28.28,20.30,-28.2,-37.7,67,11,True,True,完美多头|蓄力(11)
